contemporary 	 husband spend three night Andaz redemption Hyatt Gold Passport point , happy stay . offer coffee tea upon arrival . reservation order ( request early check - in book room ) non - traditional check - in process relatively seamless quick . early early check - in request , give we option wait room - with - a - view request ready take similar room ready internally - face - take ready , internally - face room . we enjoy sleek style lobby , traditional styling internal area hotel 1901 restaurant . decor room also sleek contemporary , bit dark taste window look internally hotel & quot ; courtyard & quot ; atrium ( know ahead time ) .The room clean , bed comfortable . bath okay ; shower 's water temp would fluctuate quite frequently seem lose heat shower progress . also , regular outlet bathroom except face shaver - provide hairdryer hideaway mirror vanity desk , would prefer option dry hair bathroom ; husband shave head electric head shaver bedroom instead bath . hear , little neighbor wall room ; noise hear hallway - door closing , clink glass / bottle housekeeping cart , etc . not overwhelming bother . compare hotel ' ve stay U.S. , turndown service pretty late evening - close 9pm . we not use workout facility , take tour impressed . gym relatively spacious , cardio equipment weight . steam room also , addition treatment room associate spa . the staff interact friendly helpful , provide information food attraction local area area London . we find hotel conveniently locate , right next Liverpool tube station short walk Spitalfields Market , St Paul 's Cathedral , London Bridge , etc . not fully realize area right around hotel mostly business - orient , shop eatery open later evening weekend . doubly - surprised hear Andaz 's restaurant also close weekend ( sushi place Catch ) . George pub open weekend , enjoy pint ambiance . Friday evening , late night dessert coffee / tea Andaz 's Eastway - sticky toffee pudding banana dish fantastic . we would definitely stay Andaz next trip London . 
 elegant hotel helpful staff . lay back feel . 	 spend 1 night andaz thoroughly enjoy stay . moment walk feel special , relaxed speedy personnal check process . room well appoint add bonus free minibar consist water , juice snack welcome surprise . bed comfortable room clean tidy . would recommend hotel perfect stay london 
 Jul 15 2008 	 Andaz - Great start new Hyatt brand 	 stay Andaz 2 separate occasion July 2008 . come back third stay . this new brand uniformly excellent Hyatt hotel group . differ Park Hyatt Grand Hyatt attract young , modern affluent group . hotel good excellent . hotel Eastway cafe breakfast , would def . avoid room service instead . also decent pub call George attach . gym much well average , however par Hyatt offering Tokyo . good thing concept laundry , excellent breakfast , minibar , movie internet complimentary . yes , say laundry excellent breakfast . minor downside small , floor spic span . staff try hard need little experience , come time . highly recommend . 
 Jun 22 2008 	 top trendiness price 	 entrance Andaz bit difficult find . wandered street next Liverpool station look entrance , wonder correct address . come find due discreet signage , hotel fact , indicate , right next station . yes , reviewer indicate , trendy non - traditional lobby greeting . gentleman check friendly , show room . experience whole nice ; room clean , well equip , nice extra would not find elsewhere . free internet , free movie , free fruit juice water room ... however , thing free come close justifying price tag . stay due proximity office building meeting , otherwise would certainly look elsewhere well value . Thursday night , charge 385 sterling . opinion , double worth . , would highly recommend hotel price consideration , price tag alone would prohibit stay . fairness , weekend rate drop significantly business traveler long customer base . Friday Saturday night follow stay , 140 sterling . much worthwhile ! be weekend visitor , definitely check place ! 
 Jun 17 2008 	 Terrific Hotel extra include ! ! ! 	 wife stay Hyatt ANDAZ London three night May , town Chelsea Flower Show . locate outside entrance Liverpool Station , make get around quick easy . reception desk . arrive one staff greet tablet computer check quickly easily . check early ( 10:00 am … check time 2:00 pm ) problem , also upgrade deluxe king room additional cost . short aside here … if ' London lately may notice difficult find English speak staff hotel , case here … all staff speak perfect English , many clearly London native … a really nice situation . room AMAZING . sixteen foot ceiling , huge floor space , beautiful décor , floor ceiling window , large Plasma television ( later ) .The entire place … public space well guestroom , ultra - modern . may off - putting , particularly consider hotel occupy nineteenth century building , love ! large bathroom WONDERFUL , huge soaking tub separate shower . toilet like one airplane , bit noisy unless close door . everything spotlessly clean maintain daily high possible standard . bed linen towel good quality , show wear stain . the room include breakfast rate ( $ 60.00 american per person purchase separately ) bring anything want time . policy include ROOM SERVICE want . one morning English breakfast , since ' eat egg , order double order Scottish smoke salmon american style waffle instead . one bat eyelash , everything perfect . meal also include fresh squeezed orange juice ! price room also include unlimited laundry dry cleaning , day service get laundry early day . laundry return either hang , packed wicker basket line tissue . even press tee shirt ! minibar also include . contain bottled water ( still sparkle ) wonderful bottled organic fruit juice ever taste . want , go lobby pantry help much want . the problem minimal . ' get room cold enough we , high tech lighting system tough figure . main problem television , turn 4:20 morning . tell error , 4:20 time system reset day . ' sure issue resolve , case , unplug television go sleep … surely minor inconvenience compare huge number positive fine establishment . I ' imagine return London without stay ANDAZ . wonderful . Hyatt open ANDAZ brand facility New York , Beijing , elsewhere . seek whenever possible . 
 Feb 20 2008 	 overall good though lobby / check bit different 	 modernise lobyby / lift / room - sure lobby well reception desk work fairly well - staff helpful stage . room , bed bathroom good size , clean comfortable . breakfast good service fairly slow , even drink - fair busy still bit slow - probably 15+mins drink , 20+mins food arrive US pancake / waffle well Englsh option fresh croissant . Breakfast would expensive ( & gt ; £ 60 two ) include room rate . difficult find way front part hotel breakfast room , sign , ask someone circituous , have know have walk around outside ! old staircase great decoration , likewise bar . Valet parking good helpful service . only negative ask early check - in ( advance ) not offer feature , say turn early might get - tight schedule go wedding could not afford risk delay travel wedding clothe . think level hotel offer extent available , clear . 
 Feb 7 2008 	 Andaz - oh spoilt ! 	 regular patron Great Eastern Hotel , stay re - incarnation " Andaz " twice . first time , hotel full , option room somewhat demure " Queen Suite " - ' even bath ! find new check - in procedure ok , little " Gimmicky " usual sense " nothing much trouble " one great Eastern ' define strength . I try couple night ago - time king suite ( £ 376 inc . tax ) - quite handsome price - even London . request smoking room - " Sorry Room smoking room none available anyway " . order Mojito - serve weak Rum & amp ; Soda sprig - well acurately flop old wilt mint - thoroughly awful . bed kingsize , bedroom hot , lounge cold , healthy bar - water couple juice , disappointing . and earth do place ? ? Gugennheim inspire tundra pretentious writing adorn , lift ' ceiling ! cultural vandalism ! Hyatt bring party , get invite ! feel formerly Conran Hotel one well stay , whilst GEH guise , new " Hip " Andaz leave bitter , expensive taste mouth ! need find new base London ! 
 Jan 1 2008 	 Great New Hotel Concept 	 spend New Year 's Eve London stay Andaz hotel . 22 layover London decide make part vacation ! end use Hyatt point hotel , rate pretty reasonable ( ~ $ 350 ) . hotel near financial disrict caer business traveler . style similarly W hotel chain . New Years hotel seem crowded ' m guess rate lower normal . price include everything - laundry , dry cleaning , press , huge breakfast , bottle water juice ... London amazing deal . breakfast come 70 pound 3 people ! get anything menu ( extensive ) -- opt room service charge extra fee . hotel literally right next door Liverpool Station get around London pretty easy . staff nice accomodating . a problem ... -The room hot inroom AC / Heat control not seem work well.-We interior room ... window look interior courtyard hotel enclose glass roof . find really odd . London long 22 hour would accept room.-the bathtub REALLY high difficult ot get ofall , 's great hotel great concept . would definitely return look forward hotel line . 
 Jan 1 2008 	 Nuevo concepto de Hotel en la City londinense 
 Nov 23 2009 	 Excelente 
 Nov 12 2009 	 très bien 
 Oct 15 2009 	 Magnífico . 
 Oct 11 2009 	 hotel design très bien situé à Victoria Station 
 Jul 7 2009 	 Bon rapport qualité - prix pour londre 
 Feb 18 2009 	 Schönes Hotel aber schlechter Service 
 Dec 29 2008 	 Service Style und Special 
 Jun 27 2008 	 Pas parfait mais presque 
