reasonable 	 boyfriend occasionally go city small get away . first time stay comfort inn . price reasonable service horrible , guy front desk look like not know . disappointed & quot ; city view & quot ; see window another building room small , lot space we put belonging . light break . overall room rather clean.i would advise couple want spend anniversary . would spend money stay hotel instead . parking lot small hard move vehicle , reasonably price . 26 dollar . pretty cheap parking city . 
 Mar 20 2007 	 Comfort Inn Bay 	 book Comfort Inn Bay via BA.com website get excellent deal - BA recommend hotel certainly good value - fact BA site cheap anywhere else time . breakfast basic perfectly acceptable never find dining room full despite eat sort different time . enjoy freah - make do - it - yourself waffle . staff friendly knowledgeable nothing seem much trouble . ' ve range takeaway menus decide dine excellent bar restaurant far away tempt . 's pleasant walk Fisherman 's Wharf range bus pass front door whether be go town . good purchase seven - day Muni passport - $ 24 cover transport bus , streetcar cable car . one trip ride cable car $ 5 good buy indeed . travel round lot visit lot ' micro - brewery ' SF - excellent way provide excellent different range food - tapas full blow meal - well worth look . good cocktail upstairs Boudin bakery Fisherman 's Wharf - $ 5 large well - prepare cocktail - Bo friendly man behind bar . snack sunshine outside area downstairs Boudin - serve inside take food . chowder salad sandwich $ 7 - excekllent - Californian Pinot Grigio also excellent value around $ 10 bottle . generally impressed value SF keep eye open , generally everywhere keep clean - public toilet fresh clean well look . steak Bobo 's lombard - stroll across street hotel - excellent . 's small bar dining area get busy . recommend SF Comfort Inn Bay . would go back tomorrow . 
 Mar 15 2007 	 decent 	 hotel well - locate , good value , breakfast good . room little small definitely liveable . onlt thing really complain parking charge . 28 $ per day 's even guarantee parking . , space bring ticket back front desk tell ot charge , make sure not cuz try charge 2 day park hotel garage argue . end take fee . 's pointer - weekend parking free street park Friday night leave car weekend avoid charge ! 's reason use car San Francisco anyway . , , major problem , couple pointer save buck ! 
 Mar 2 2007 	 Great Hotel 	 Comfort Inn Bay , San FranciscoStayed hotel four night find great - clean comfortable , friendly helpful staff great location handy Fishermans Wharf bus route . would happy stay would recommend anyone excellent value money . also good free breakfast 
 Jan 28 2007 	 great stay ! 	 enjoy stay . pay extra view worth . breakfast good , particularly waffle though full buffet . location handy - able walk everywhere . slight criticism one girl front desk not smile other seem friendly enough . 
 Jan 24 2007 	 Great Location Fantastic Views 	 hotel great location San Francisco , within easy walk distance harbour well near many bus stop main cable car station . hotel nice , room good size great value money . also view room bay Golden Gate Bridge amazing . downside car parking charge $ 25 day . otherwise great hotel would definitely recommend . 
 Jan 21 2007 	 mainly good could well 	 arrive airport San Fran find place call hotel do not shuttle bus frankly pain ! either pay shuttle do not come cheap , take bus . bit cheap decide take bus other lag luggage bus mean feat . catch bus town bus do not run Van Ness Lombard ( hotel locate ) take taxi , still cheap shuttle airport ! check , seem fine . give room 10 floor amazed every morning noisy lombard St ! find hair bathroom glass sink clean whole time . bed seem clean everything else ok . weird thing though one night light see write wall - creepy something CSI , since could not see day . weird . big annoyance kid come tour group pretty much whole time . do not make big noise . two three running hall , despite place call front desk do not seem care . free breakfast ok , nothing nutrionally sound healthy eating pastry . really get nose check guy front desk say owe 10 hotel safe room . say check slip , read nowhere say pay . say look that s really unfair , tell people ! refuse pay . ok , do not know would stay . good location Lombard St , Ghiradelli chocolate factory fisherman wharf . price guess get pay . think next time area would stay Hyatt instead road . 
 Jan 10 2007 	 great hotel expensive city 	 hotel corner Van Ness Lombard . get great view bridge ( pay little extra ) . bus stop right across road couple restaurant within walk distance - probably would like little choice regard . the room well sized , comfy bed . continental breakfast morning really nice . research lot hotel net choose one , $ 125 usd per night family four . well ahead price stake hotel . desk staff incredibly friendly helpful bus route , wash , see etc etc .... , great choice great city .. 
 Dec 28 2006 	 Comfortable sort bay 	 read bad review place near Civic Center stay couple time , change last minute Comfort Inn Bay base review . recent review quite accurate : decent place stay , somewhat convenient Fisherman 's Wharf , little inconvenient location . room small fine ; loud noise rain fall air conditioner forgive since day heavy rain date since 1838 ! Room face wall , view , hardly ever day , also problem . upgrade available fee . wireless internet handy free . surprisingly , hard find late night snack Lombard , pretty good snack snack machine third floor . breakfast quite good , especially waffle . pretty early every day can not comment possibly run thing . from one block north ( Chestnut ) # 30 bus North Beach Chinatown downtown , take 20 - 25 minute . come hotel , cable car Lombard , walk downhill . make return trip way would bit brutal since quite hill . usual , stay SF city area , Muni Passport good idea , not think desk though . especially true stay hotel since Fisherman 's Wharf west area ( Ghirardelli etc . ) really within walk distance . staff , mention review , quite friendly helpful area well many . 
 Dec 12 2006 	 Cleancomfortablefriendly staff 	 let us get straight start - this luxury hotel . having say would thoroughly recommend return enjoyable trip San Francisco partner Comfort base . the hotel clean , bed comfortable plumbing tv work . hotel fairly basic not spend time hang round much . really dealing reception staff helpful friendly . the buffet breakfast fairly basic adequate cereal , waffle , preserve , maple syrup , bagel , crumpet , cream cheese fresh fruit . the hotel well locate San Francisco waterfront crook section Lombard Street 10 - 15 minute walk . my partner not mind walk people may want get taxi get place Union Square , Coits Tower , Palace Fine Art long walk SF many hill . if book excursion usually pick direct hotel wherever stay . Comfort also locate safe area . lot homeless people SF never feel threaten . SF great city plenty see great eating , drink shopping opportunity . 
 Dec 6 2006 	 great location like hotel several reason 	 's excellent location , right Van Ness & amp ; Lombard . you walk bay easily get cable car easy . the hotel excellent build great condition . the free breakfast excellent . however - charge per day use safe ( room ) charge 25c per minute use internet charge extra $ 30 per night want room decent view bay . room vend machine outside , kiss night sleep good bye . ( unless pull plug ) 
 Oct 21 2006 	 good value money 	 come back short visit city . economy hotel not expect alot . pleasantly surprised amount food available continental breakfast . other say , agree , go early fill quickly . IHOP Denny 's walk distance , would recomend take continental breakfast . room clean enough , quiet enough , though face Lombard . depend fitness level / mobility , within walk distance Fisherman 's Wharf , Marina district , Pacific Heights . crook section Lombard close , climb get . side near BART station , look muni bus schedule rent car . parking restrictive area park lot expensive , warn ! enjoy stay . 
 Oct 19 2006 	 good hotel 	 Hotel locate 5 block Fishermans Wharf . staff friendly helpful . room good although put smoking one . Continental Breakfast free hotel pleasant surprise . happy stay . would recommend . 
 Oct 15 2006 	 Great Hotel 	 stay hotel reading review TA . disappoint . great location , book quick painless . worth pay extra view bay . room spacious clean . breakfast usual continental muffin toast . ten minute walk Fishermans Wharf , minute bus heart SF . 
 Oct 8 2006 	 exceptional value ! 	 return six night trip san francisco.staye hotel mainly base price was'nt sure expect.having get shuttle airport , slightly worried pull outside ... really look nothing outside fact even bit dreary.but soon get , well difference .. nice lobby , greet kind welcome woman front desk ' ve ever met.she check , ask long staying know want whilst san francisco.she give map area help transport information.the hotel bus stop right outside.fisherman wharf 15 minute walk away.the room single fairly small cosy.it also spotless.the friendliness front desk continue time there.i spend age talk them.the thing need know get free continental breakfast every morning .... superb spread.the problem breakfast room get fairly crowded may want go either early leave while.all well lot big chain hotel ' ve stay would happy visit . 
 Sep 29 2006 	 overall good experience 	 spend three night hotel September 06 . feel hotel value money . well locate main tourist attraction , would recommend walk around San Francisco much possible opposed take bus , get great feel place . walk Columbus Street , great italian restaurant , Union Square back day great exercise ! room spacious , although bed little small hotel . bathroom average sized well equip . ice machine floor , speedy lift . view mainly building , pay bay view not mind . only real gripe couple assistant front desk friendly , one extremely patronising , appreciate . however , not let spoil stay San Francisco . definitely want return , could spend three week place . favourite place west coast hand . would reccomend place due comfort , location value money . 
 Sep 17 2006 	 Value Money Fisherman 's Wharf 	 stay Comfort Inn 3 night August , find pleasant , clean money ( pay £ 69 per night room include breakfast ) , well locate visit sight Fisherman 's Wharf , short bus ride , famed department store Union Square . our room two Queen size double bed , aircon , ensuite , sufficient wardrobe drawer space , tv telephone , an - in room safe payable use , adequate family 3 . 5 year old son love idea double bed ! let fridge , ice machine end corridor keep lager buy nearby liqour store chill long enough , add wife 's vodka coke ! room clean , maid change towel daily even hang back , make bed daily also . location wise 10 minute walk fish restaurant near Pier 39 , 1 block bus stop , get bus Union Square day . cost $ 1.50 adult , 5 be free , child 5 , say ! bus driver not seem mind ! two trip would absolutely 100 % recommend make time stay city tour ' big red shiny mack fire engine ' , take around city Golden Gate Bridge , whilst dress real fireman woman , open back fire engine ! excellent ! $ 40 adult , $ 25 child . well worth ! second trip Alcatraz ! book blue gold fleet $ 17 adult , $ 10 child . not go San Francisco go Alcatraz . would waste ! sight prison history tell audio tape really make think ! book trip advance number limit want take trip want ! overall enjoy short visit San Francisco , despite luggage misplace airline stay ! , convenience price , would definitely recommend Comfort Inn Bay . 
 Jul 31 2006 	 Great Value- Outstanding View 	 clean friendly hotel . son three day great stay . get room view Golden Gate ; 's good value town . outstanding eat complimentary breakfast fantastic view . call hotel directly give well rate online booking service . garage small people complain space available park- lucky . staff check luggage us office could spend check - out day sightseeing . also book us cab Oakland airport- shuttle complimentary hotel . hotel short walk Fisherman 's Wharf transportation stops- staff helpful give we map direction . , great stay recommend anyone area . 
 Jul 22 2006 	 Good Vacation Inn Bay 	 ( 06/19/06 - 06/24/06 ) spend five night Comfort Inn Bay , room City side picture website , room adequate small side , tv , AC , iron , refrigerator . I probably book view room next visit . good breakfast provide . positive : staff professional friendly attitude . actually misplace wallet hundred traveller check check . check return American Expressand wallet mail Kailua , Hawaii home . negative : please tell manager purchase well comfortable pillow . really enjoy trip wife Diane explore San Francisco , bike Golden Gate Bridge way Sausalito Tiburon . ( Blazing Saddles Bike Rentals ) , Fishermen 's Wharf , enjoy play & quot ; Spelling Bee & quot ; Post Street Theater , shopping wife enjoy activity , good restaurant nearby includingantica Trattoria ( italian ) , Slanted Door Ferry Building , Boudin Sourdough Bakery Cafe Fishermen 's Wharf . also enjoy Alcatraz tour several attraction include City Pass . city pass also allow ride Muni Trolley car . rent rental car Budget also Van Ness Ave check drive Lake Tahoe Reno . would certainly recommend Comfort Inn Bay would return hotel next visit .. hotel conveniently locate quiet reputable neighborhood ( Russian Hiill ) along bus route . ( way may main cash credit card wallet carry two wallet ) . ( Clifford - Kailua Hawaii ) 
 Jul 14 2006 	 Nice Place 	 Nice hotel corner Lombard Van Ness ( US 101 ) . walk attraction along bay 20 minute . Walk Van Ness take right Bay leave one cross street bay avoid hill . also close crooked part Lombard Street . , uphill walk . room small , nice . high Speed Internet work well . upper level odd numbered room view San Francisco Bay cost extra view . even number upper level room good view well . low level room may road noise Lombard Van Ness major intersection . breakfast good go early avoid wait seat happen later breakfast hour . lot restaurant immediate area well one bay . thing keep rate hotel 5 star parking garage . tight . careful ! even though say two way traffic , not know two car could pass . also , total cost parking $ 35 night factor city parking tax . not move car , since everything within walk distance short ride public transit , not affect much . overall , good stay . would stay Comfort Inn . 
 Jun 18 2006 	 wonderful place 	 go 30th anniversary wonderful time . Staff treat we like family . great breakfast room perfect great view bay GG bridge . convenient location -we walk everywhere . bus line run along Van Ness also . already miss friend make front desk . would love return next year . 
 Jun 8 2006 	 Good Hotel 	 stay Comfort Inn Bay 5 night . hotel clean , well organise friendly staff room good value . breakfast include help buffet basic muffin , waffle & amp ; various bread . breakfast room busy though hence may wait table . 2 different room ( queen size 3 night King size 2 double bed 2 night also look bay Golden Gate Bridge ) due availability whern book . latter room slightly expensive almost twice size fantastic Bay view would certainly ask visit . hotel not restaurant / bar gym / pool prepared find require . Voodoo Lounge across road worth visit small friendly bar , open late . overall , enjoy stay hotel everything well , however may want check hotel actually Fishermans Wharf 15/20 minute walk , seem long end nightout . 
 Jun 5 2006 	 definitely stay . 	 clean , super nice people , locate one main street SF . walk fisherman 's warth 15 minute save time money parking . repaint outside , not bother really make effort really clean , nice motel stay . SF bay area , price good quality . definitely stay . also offer $ 25 parking garage highly recommend extra cost . bathroom tiny , functional . Hair dryer , iron , remote tv , nice powerful AC , frig kind disappointed since like shop drink local store keep cool not purchase machine pier . Tredd SW PA . 
 Jun 4 2006 	 Excellent value money 	 stay 3 night 19th 22nd May , good hotel start holiday . think prebookinglorrie shuttl ; e bus ' m glad ddi not ! airport huge trying figure go pick , not one available , get another shuttle bus . cost we $ 16 per person plus tip top , 's shuttle expect stop around airport shuttle full . expect make multiple stop hotel , second last people get . decide use taxi return journey ! speak someone take taxi instead say take around see tourist sight without ask ! mean pay $ 56 end , be want . need ride back airport Monday , ask front desk book us taxi , go reputable company take straight airport , taxi company take long way back cost ! taxi cost $ 50 include tip least direct ! worth extra 10 buck instead shuttle . location quiet block Fishermans Wharf , quite walk distance get 47 Bus across road will within 10 Min . hotel room spacious clean , view not great pay room view Golden gate not take offer . front desk staff friendly help stay enjoyable , help we bus get Wharf also get Union square area ! also free Tea Coffee dining room area fully appreciate ! one thing stop put execellent maid . go first thing morning not return till 2 pm room not do . think okay , come back bit soon follow day come back 4 pm ! wife ask long maid bit short response . 4th floor happen floor maid not tidy room , complain front desk . not last full day . I think hotel use alot french german tourist , guess be mostly continental breakfast , make waffle toast want to . overall would stay get everything could wish money ' ve pay plus friendly front desk staff . city , San Francisco lovely place . want go Alcatraz , definitely book advance , standby line , 's guarantee will get ! restaurant shop relatively cheap good quality . every kind shop think find , especially around main area Union square . question will happy help . drop email will get back soon possible . 
 Jun 1 2006 	 Fantastic Hotel Great Location Great Staff 	 stay hotel week . absolute bargain . fantastic location . around corner lombard street five minute walk fisherman wharf . room really spacio clean . get free continental breakfast superb . staff hotel really friendly helpful especially want check room later request . highly recommend hotel . great base explore san francisco . 
 May 3 2006 	 Excellent Hotel 	 daughter stay hotel April 2006 . travel alone , safety important we find hotel good , central location . reception staff helpful tourist information bus etc . double room unlike US hotel stay , room 1 queen size bed room quite small . perfectly adequate though short amount time actually spend room clean . free breakfast morning good . hotel locate 10 min walk away begin Fisherman 's Wharf great place go day time early evening street performer artist . beware Bush man ! ! ! ! really enjoy stay San Francisco would definitely go back hotel . 
 Apr 21 2006 	 great stop 	 fair way International Airport , shuttle bus drop we right door . room good size , though book double room get look like two large single bed sleep . hotel high speed internet access room carry laptop . close Fishermans Wharfe far town . lot place eat near ( well cheap one anyway ) . overall find comfortable place , breakfast plenty get start day . 
 Mar 31 2006 	 love hotel ! ! ! 	 love hotel everytime stay San Francisco . 2 adult 14 10 year old . upgrade easily Bay View room . service , breakfast , price , location , cleanliness , everything always fabulous ! would never stay anywhere else San Francisco . 
 Mar 19 2006 	 nice affordable comfortable convenient . 	 stay hotel 9th 12th . lovely hotel close wharf Pier 39 , 15 min walk hotel bus take straight . first room allocate near Pepsi machine sound go blow . gentleman serve we front desk extremely nice provide new room 7th floor . he also provide map area point different bus route . good service novice city . Alcatraz must visit seal hang around Pier 39.bed comfortable . bathroom small basic amenity . drawback guest service booklet states hotel laundry service use coin operate machine . turn laundry property 2 block away . continental breakfast average , toast , shell boil egg cereal . nothing fancy average . we not hire car SF need use parking facility . Lift 's little slow appear one lift work time . overall nice stay , clean , cheap close bay . 
 Mar 7 2006 	 great Stay ! 	 family four love hotel . location great , central thing want see , locate 101 several transit line . use convenient , safe , well - light parking garage park car leave two day walk take transit . stay five hotel trip well . room attractive well - maintain . view Golden Gate Bridge gorgeous . wireless high - speed internet service work perfectly start . first hotel ' ve stay year separate thermostat , room heater shut reach temperature ; heater run night ! continental breakfast also good trip . hotel serve wide selection fruit bake good . even serve shell boil egg ! 
 Feb 22 2006 	 great ! ! 	 husband 15 year old son stay one week 10th till 17th feb . could not fault hotel . ideal we . excellent Maid service . use Breakfast facility every morning . full english breakfast would nice hey , Rome Roman 's ! surround view Golden Gate Bridge great bus Taxi service outside door . find Staff polite friendly . would recommend Hotel family friend . 
 Jan 26 2006 	 ok room 	 room average , small bathroom . light energy efficient , good way . light turn dim , would warm 5 minute ( make sizzle noise entire time ) normal brightness . parking tight garage say park $ 25 also charge $ 3.50 parking " tax " upon check . room nice , bed lumpy pillow rock hard . pay bay view , nice ; view Golden Gate Bridge ! ! free breakfast not start 6:30 early flight , forget breakfast . overall , hotel average , nothing write home . 
 Jan 25 2006 	 great hotel great location 	 good price , perfect location close everything . breakfast fast tasty , get early get seat . room clean secure , staff helpful 
 Jan 15 2006 	 thank Memory ! 	 husband live Orange County Calif enjoy vacation San Francisco , try get away beautiful city often possible . make habit stay different hotel different area city , experience diversified area . rating price , hotel real gem ! stay last vacation real find , would object stay . December 18th - 22nd 2005 , right Christmas . although entire day overcast raining , still enjoy ourselves . the staff , management hotel kind professional , make stay much pleasant . continental free breakfast ( although stop serve 9:30 morning ) not bad . not see waffle ad suggest , still pretty ample quantie , much well usual coffee simple pastry hotel ' offer . like sleep late ; usually 9:30 bring tray goody husband back room , wait / kitchen staff gracious this . we not pay room view Bay / Golden Gate Bridge , actually work fine . rainy weather , low cloud , fog rolling view would probably obscure . stay 6th floor view not bad . room keep clean , maid service respectful late sleep hour . Comfort Inn Bay good hotel adjacent Fisherman 's wharf - nice ! , return San Francisco , hope opportunity stay wonderful hotel again . thank staff management ! 
 Nov 30 2005 	 great price ! 	 husband stay Comfort Inn Thanksgiving weekend . arrive 3 hour check - in , promptly give key . check - in quick upscale resort stay . free continental breakfast buffet get roll without wait . good location see Warf shop . easy walk hill Warf Buena Vista Cafe breakfast Irish Coffee . bus run steadily Warf , North Beach Chinatown easy return hotel . action , easy get one end San Francisco . 11th floor ( top ) not want spring Bay View room . great city view , especially sunset . ( see pic ) . would recommend stay plan sightseeing time . 's good place lie head . 
 Nov 21 2005 	 great budget hotel ! 	 hotel definitely budget hotel , let point thing . room comfortable clean . bathroom area wee small , however many extra , hair dryer , coffee maker , iron ironing board , nice touch traveler ! not beautiful bay view room often , however , breakfast area full , bring continental breakfast room enjoy overlook gorgeous city ! staff helpful ask direction bus stop , etc . I actually surprise hotel rate 2 star , feel 3 . feel great value money ! 
 Oct 3 2005 	 great deal - good hotel ... 	 hotel much well expect , easy find , parking problem check within minute . Room Golden Gate View , tea upgrade , price . poster everywhere . breakfast ideal , suprise large selection . problem get seat staff clear table efficiently . its pretty 10 minute walk Cable Car turn around , 15 Fishermans wharf , taxis dirt cheap use lot . I would recommend hotel , much nice stay Union sq . 
 Sep 28 2005 	 look something else 	 hotel fair good . definitely budget hotel . ask least 4 individual someone could guarantee boarding pass could print . one front desk individual refer one evening staff & quot ; difficult & quot ; not sure would print boarding pass . breakfast attendant nasty would not allow we take anything 6:30 ( even though run catch plane ) . coffee horrible continental breakfast not good . 5:00 a.m. wake call never come . bathroom small hotel & quot ; view & quot ; pay extra obstruct dirty window . positive note , room clean night auditor , Tove , pleasant come print boarding pass . think staff hotel need attend Hampton Inn 's customer service training . hotel close Fisherman 's Wharf like walk close not like walk . take bus . we great time San Francisco despite disappointment Comfort Inn . take three hour Jeep Tour SF ( $ 59 , ask Paul ) look City Walks Tours ( free ) . take City Walk Tour Haight Ashbury area fantanstic ( lead Joe Lord ) . also , love Nappa Valley area - not miss . 
 Sep 23 2005 	 good hotel close Fishermanns Wharf 	 nice clean room two queen size bed , stay 2nd floor unfortunally view , possible pay extra . take 8 - 10 min . walk Fishermanns Wharf area , perfect . also continental breakfast buffet incl . hotel , really good deal compare price location . 
 Sep 13 2005 	 small bed great location 	 Perfect location see San Francisco bed 4 ' 6 & quot ; double bed room ideal 2 people ( 2 adult daughter 14 ) . room clean bright breakfast room often crowd sit . 
 Sep 5 2005 	 enjoyable stay Comfort Inn Bay 	 stay Comfort Inn Bay August 29th 5th September overall , enjoyable experience . room large , clean comfortable ( beside mattress hard enough ! ) . also get view bay promise ( stay 5th floor ) . however , contrary review read say , wall paper thin ( unless stand right next ) . hear ongoing traffic outside though , be disturbing ( light sleeper ) . , repeat , use phone call long distance , otherwise , will sorry ( 17 $ 5 min call ) ... far free breakfast go , ok ... enough food ( cutlery plastic matter ) table ( eat room labor day sunday ) . far location go , hotel safe neighborhood closeby North Beach ( take 45 bus get side hill , trust ) , Chinatown ( walk Van Ness Broadway , make left go tunnel ) Fisherman 's wharf . moreover , crookedest part Lombard side hill hotel Union Square bus ride away ( bus # 30 corner Chesnut Van Ness ) . would stay hotel 
 Aug 29 2005 	 Great Bay Views 	 stay Comfort Inn Bay August 25th & amp ; 26th . book Expedia get room around $ 150 / night ( include tax ) . pay panoramic view bay & amp ; disappointed . room 811 & amp ; great view Golden Gate Bridge well neighborhood surround hotel Wharf . another poster say , be look luxury accomodation place , however be look clean , comfortable / affordable hotel great view give place try . 2 double bed room . bathroom 2 area . 1 room ( small ) tub toilet & amp ; open area sink , mirror & amp ; hair dryer . not mind small bathroom since room great deal . location great . love able walk Wharf , Union Street Shops & amp ; place fair amount time . eat Cafe Lombard right across street dinner one night & amp ; food fabulous & amp ; affordable . would not hesitate recommend hotel anyone . also let we store luggage since 11:30 flight night , nice . 
 Aug 20 2005 	 Disappointing 	 although room expensive , basic small bathroom leave disappointed . review mention , continental breakfast basic breakfast facility inadequate . three day stay free table breakfast guest eat stand perch reception 
 Aug 18 2005 	 come view 	 view bay Golden Gate bridge promise . location hotel excellent - right corner Van Ness Lombard . staff friendly helpful . continental breakfast offer quite choice plenty go around . parking tight , darn convenient . be expect luxury , will not find , reasonable rate clean room , bed comfortable enjoy 2 night stay . 
 Aug 11 2005 	 Good Value Good Location Mid Market Hotel 	 get back feel good hotel money . clean staff helpful . reserve bay view room $ 149 ( floor 9 - 11 ) unfortenatly FOG block view ... hotel 10 block bay could see house business time ! arrive way early ( 930 ) room ready get check ! Breakfast ok .. cereal , boil egg , fruit , juice , bagel ... nothing super .. plenty . we fly SFO take BART ( $ 4.95 ) Powell station , buy 3 day UNI bus / trolley car pass $ 15 .. take Powell - Hyde trolley ( pack light ) Lombard street walk 3 block hotel . true , bus nearby .. bit nervous finding way around front desk staff extremely friendly map major route ... find 1 block away bus 30 go fishermans warf area , china town , financial district , Powell station . come every 7 minute ! ride 30 20 time . excellent location use public transit .. staff helpful . only compliant window mirror ... close drape privacy ... discover later day go walk .. little late . again , would stay heartbeat ... clean good shape .. also use new key old magentic card . even hold bag last day day long charge ! 
 Aug 11 2005 	 Yep - great view include ! 	 wow - great hotel right 101 ( corner Van Ness Lombard ) . reserve & quot ; deluxe - panoramic bay view room & quot ; turn like room review picture ! $ 20 + parking per night include & quot ; privilege & quot ; , trust , parking tight ( virtually every spot occupy daily ! ) will not want go ! ( also , spend extra time back parking spot - will thankfull 's time leave ! ) free continental breakfast really busy keep fairly well stock - nothing special . this location great - easy walk wharf area - public transportation close . really enjoy stay ! booking via Expedia : 2 queen bed / 4 adult / $ 150 + = 204.78 total / night . 
 Jul 27 2005 	 great View Good Location 	 go family five include 18 year old twin 16 year old . originally book one room - two queen bed rollaway find small requirement . immediately offer we another room - albeit different floor - way midnight glad extra space . the next day offer we another room next door bay view room . could not accomodate really . room comfortable clean . bathroom bite small . breakfast welcome - great traipse something eat . bay view great chill look although may see top bridge fog . also take sweater get bit chilly breeze . we find easy get enjoy without car change . tram bus great . find San Franciscans friendly Brits could not treat well . I cup tea italian cafe across road one morning whilst everyone breakfast . seem cook centre cafe seem problem cooking smell . also bit run down . we enjoy eat drink North Beach , like traipse around Chinatown , son love record story Haight Ashbury one daughter bite unnerved weird wonderful character . Alcatraz absolutely fascinating - short boat ride not bother buy food drink board pricey ! love San Francisco ! 
 Jul 26 2005 	 Decent overwhelming 	 Comfort Inn Bay competent Motor Hotel would expect price range . rate fairly decent City hotel good value . probably good thing hotel location . located foot Russian Hill near Cow Hollow , Marina , yes , Fisherman 's Wharf , 's wonderful location . be also convenient along bus line rest San Francisco ; along 101 Marin point beyond ( Napa , etc . ) . property , room fairly spartan budget price amentie . sheet towel lack softness otherwise serviceable . continental breakfast fine like kind buffet . unfortunately , offering often seem overrun people try eat room rate worth breakfast . unfortunately , one different . plenty good place breakfast nearby ( walk Crepe House Polk ) . parking $ 20 budget trip ( well yet leave car home ) .The net look reasonably price place stay great neighborhood , could bad Comfort Inn Bay . 
 Jul 12 2005 	 nice place shame double charge tax 	 Nice Hotel good location . car parking charge $ 20 per night plus tax . 's mistake make ! stay three night pay $ 60 plus $ 8.40 tax . ask bill split two visa card . do later check find card charge $ 30 plus $ 8.40 tax . double charge tax . wonder tax man know ! warn check bill carefully . hotel refuse reply query double charge maybe not care much . not money 's principle good customer relation matter . reply said & quot ; sorry & quot ; could kept money tip ! 
 Jun 30 2005 	 Fair 	 check late end first floor view brick building next door . overall , great location fair hotel . staff nice . continental breakfast basic . room clean small nothing special . would recommend hotel get good deal . 
 Jun 30 2005 	 recommend hotel enough ! 	 hotel fantastic ! rave enough . this two star hotel review aim use stay Plaza 4season . young couple extended trip look hotel SanFrancisco good location fair price . Comfort Inn Bay tick box . the room clean , spacious good cable tv , in - room safe , refrigerator , free wireless internet free local call . morning could walk Fisherman 's Wharf ride cable - car ( 4 block - not uphill ! ) . also good bus link right outside include bus Market Street Fisherman 's wharf . area safe . Lombard Street quite busy road traffic could hear time not bother we much . front desk super enthusiastic help we bus link chinese takeaway ( long drive Yosemite ! ) .We going stay 3 star hotel $ 185 see 2star hotel offer view bay $ 20 less decided go . attach photo Golden Gate Bridge take room . view excellent . happy decide stay Comfort Inn anyone consider stay well worth extra $ 20 bay view room . would definately stay would probably first choice hotel , even budget ! much fabulous SanFrancisco need room sleep ! 
 Jun 23 2005 	 Disappointed 	 expensive place , clean , crowded common continental breakfast . smile personal would not hurt neither ... recomend place . 
 Jun 3 2005 	 good value 	 's luxury place , San Francisco , hotel pretty good deal . room basic clean , small , either . everything ( bathroom fixture , tv , etc . ) seem well take care . 's good breakfast buffet morning , too . the neighborhood safe quite busy , without touristy . course , walk Chestnut St shopping area , catch bus cab easily . 
 Jun 2 2005 	 absolute must consider - I love ! 	 get back trip San Francisco stay Comfort Inn Bay base review site . wonderful stay regret stay . two queen bedroom crib ( turn playpen ) tv , phone , wireless internet , hairdryer , iron ironing board , coffee room , great breakfast downstair everymorne great view bay bridge - all low price . staff really nice . example , son use sleep playpen thin mattress come . second night , staff give we extra blanket use extra cushioning ( not extra mattress say try blanket ) son ( 11 month old ) sleep night ! be Canada first trip San Francisco , pay little extra view well worth . someone mention review light bathroom time dimmer really nice eye & quot ; emergencies & quot ; night - I not realize true stay ! also pop machine every floor ice machine way . safe room 1.25 extra per night . breakfast great - bread , mini muffin , english muffin , bagel , three different kind cereal , fruit drink . sister really love fact hot coffee ( stryofoam cups lids ! ) available throughout day dining room well . perfect location - within walking distance within warf , even chinatown little ambitious . one complaint , bay side view room bit loud street traffic night , wake . parking , walk bussed . People research know city know much parking San Francisco general driving & quot ; zoo & quot ; like . can not emphasis enough much get price pay . 's Ritz , 's Comfort Inn 's ok . like big bang buck , definately place . 
 May 24 2005 	 pleased 	 pleased stay . room luxury room clean bed sleep good . pay little extra view could not beat . location cental anything would want . locate main street bus accessable across street . also get nice continental breakfast . go back would love stay . 
 may 21 2005 	 10/10 easily pleased ! ? 	 stay 3 night begin May would'nt hesitate go back . room big clean , bed really comfortable - much effort get . staff always pleasant helpful . buffet breakfast lot well expect read differ review site . fall upgrade regret . think , look window first day stay , that s ... window .... pay £ £ £ £ 's extra quick look Golden Gate Bridge ! unless be intent sit hour end stare bridge window would say stick first choice city view room save money sight - seing . lift problem ppl say , never long wait , location perfect Fishermans Walk tram Union Square etc . lovely stay equally lovely city . 
 May 18 2005 	 Met Expectations 	 read excellent Trip Advisor review hotel decide stay four night late April . we disappoint good point highlighted review confirm spot . base room excellent room cost circa $ 99 plus tax . I would advise pay extra bay view room . see submit picture Golden Gate bridge magnificent , sunset different night - amazing . well locate bus get around city also great access onto Route 101 get city . the complimentary breaky fine , plastic cutlery plate serve purpose , free convenient . the little italian restaurant road well recommend . convenient , reasonable price important , good italian cooking ever experience . head chef Thai lady ! Alcatraz Tour - Pre - book on - line travel . note tripper arrive day turn away put standby queue . we may return San Francisco book Comfort Inn Bay again . thank TripAdvisor provide excellent review service - book hotel knowledge holiday hotel will not dissapointment . 
