Clean 	 husband book Rooms Manor experience really good . sister parent also . even ask , check - in , give we adjoining room . room clean comfortable . room locate ground floor - parking basically front manor . Circus Circus offerre really good buffet meal - 20 usd whole day ( breakfast , lunch dinner ) also offer eat prime rib 13 usd . well worth it . we stay 2 night really great time . probably one cheap hotel facility great . 
 disaster 	 daughter family stay 4 night Circus , Circus Las Vegas . total disappoint past experience . normal amenity i.e. , refrig . , Microwave cost extra per day , room clean , elevator break , walk flight stair get room . talk desk receptionist Supervisor unprofessional sympathic . & quot ; kid friendly & quot ; advertised family set prior year staff rude instance . ever recommend staff Circus , Circus Las Vegas . many family attend football tournament . next year stay elsewhere . 
 cheap ... 	 Somewhat way & quot ; strip & quot ; . price right though like clown , well will love place . room pretty basic , date . room quiet . Shower floor uneven feel somewhat odd ... not know would stay pinch , 's bad choice Vegas hotel . 
 Apr 24 2009 	 wow- Value ! 	 stay 32nd floor West Tower . rent 2 adjoining room $ 35 night ! wonderfully large room granite marble top clean . two queen size bed . great hotel kid great value . Vegas hurt due recession , one good hotel value ' ve ever - free parking ! 
 Apr 24 2009 	 good room cheap price 	 Circus Circus good place lie head night . however , food casino lacking . basically stay away hotel day need sleep . room nice large expect . room clean always plenty towel , shampoo , soap . Circus Circus great need . simply room crash end long funfilled day . 
 Apr 22 2009 	 good price 	 daughter stay CIRCUS CIRCUS March 2009 . room clean perfectly adequate . clean towel every day clean sheet request , ( little card leave bed ) . casino 's self new be good place choose casino . restaurant lovely breakfast buffet evening buffet worth . 's circus act start 11 am Midway . not see much always busy . also , be theme park roller coaster ride . 's bus stop outside hotel take main strip side take downtown . Freemont Street Experience ( Downtown ) great . 's light show see . start 7 pm , ( think ) every hour hour good one 's bit later , see one go buffet Freemont St hotel casino , be really good food well worth money . 's good outlet shopping centre bus take right outside . fantastic time Vegas hotel would recommend . 's clean , good location either direction professional friendly staff . 
 Apr 19 2009 	 wonderful ! 	 despite review read , book base price location . not disappointed ! check - in check - out , entire experience definitely bang buck . room nice , clean , spacious always fully stock housekeeping staff . leave early Friday morning , leave one ring ( noticed get airport ) . immediately call CC Security , already re ship day ! 
 Apr 17 2009 	 Loved ! 	 although year ago , great time . blue Iguana good place get mexican food , drink wonderful . room average , bad , plus price can not beat . complaint roller coaster , be short like , head smash one side , give major headache . husband hand , fairly tall , problem . think service average . overall , think great place stay . plan staying time ' m Vegas . 
 Apr 17 2009 	 Las Vegas 	 do not enjoy hotel , though city nice . son pram steal Circus Circus , one even entertain . room ok , airconditione create trouble . may good , shoe string budget 
 Apr 16 2009 	 Value Money 	 reading review , really look change hotel pleasantly suprise . hotel - yes date , build 1960 's somewhere lay head shower walk day perfect . hotel end strip 's far walk .... hotel - take 45 minute check get upgrade one recently renovate room , plasma screnn , pillow top xlarge bed ... tidy spacious . hotel casino 's smell stale smoke smoking allow casino nonsmoking room fine . buffet restaurant little bit canteen style one cheap buffet strip - u get pay . breakfast $ 10 unlimited bacon , waffle , pancake , egg , bagel , cereal , fruit , yoghurt fruit juice etc - enough keep go good hour . dinner ok food same - y get usual deep fry chicken , beef stew etc . shop seem little price soft drink snack , supermarket come hotel leave do not find last day lot cheap much vaiety - think 's local shop ! thing Vegas , get tip trip advisor really help - DEUCE - 's big gold double decker bus run strip 24 hour day come along every 5 - 10 min busy time . worth get 3 5 day pass get many time u like come handy sit 5 min go next hotel ! shopping - go las vegas fashion outlet Primm - u get ticket top fashion show mall - take 45 minute get go twice day . shop ok , Gap , Timberland etc usual bargain shop - thing cheap good outlet centre New York . Las Vegas outlet ( last stop deuce ) 5 min outside vegas , great , converse shop hear other never hear of . go Grand Canyon bus trip would advise flying bit extra get 3 different bus take hour ! ! amazing see grand canyon though well worth go . the hotel great place stay want away noise hustle bustle . lot kid indoor theme park circus do not kid do not really get invlove look cheap place stay . pool fine lovely large warm jacuzzi nice relax walk day . overall would definately recommend Vegas Circus Circus pay - could beleive value money friendly staff ..... 
 Apr 16 2009 	 ok - eat elsewhere though ..... 	 stay couple year ago review may little date thing change . sum , CircusCircus ok . room average size reasonably clean . casino area little dated bit sticky carpet honest , much nice casino hotel . location ok , top end strip . eat one restaurant within hotel . food dire . 10 year old chicken breast , like eat string , complain , meet abuse tell send food back soon come , cover breadcrumb , one bite taste ! ! ! , result , apology discount bill offer restaurant manager . Las Vegas fantastic . love every minute . , not already one , CircusCircus could massive revamp thorough clean casino area least ! ! ! ! ! 
 Apr 15 2009 	 ok Value money 	 husband , three child , mother & amp ; stay March 29th April 1st . book two room & amp ; stay Skyway ( ? ) tower . mother room decorate ok , however , miss picture , alarm clock unplug due incessant buzzing -- -was definately bad wear . staff wonderful ... prompt maintenance service Mom 's toilet break . Met friend stay Manor room . fridge & amp ; like decor room well , however , noticed towel sit entry way 3 day , & amp ; vacuum clean leave outside friend ' door overnight . would recommend Midway game keep eat quarter , & amp ; could find agent refund lose money . also see childless adult hang around -- -creepy ! 
 Apr 15 2009 	 horrible ! 	 tired old dump ! Dark , dirty , crowded . stay ( thank goodness ) take kid see circus ... ok , good way kill hour OMG , scare walk place . new construction around place - maybe owner dump take clue loose business new place , bulldoze place start . stay far away . 
 Apr 13 2009 	 Excellent value 	 Excellent bedroom good value hotel . far end strip quite distance hotel however deuce bus stop front hotel 7 $ per day travel much like . look around hotel much luxurious Circus Circus also lot expensive . excellent 3 night hotel could not fault . Buffet restaurant excellent value nice food . nothing fancy something everyone . necessarily well excellent value . 
 Apr 10 2009 	 adult great child 	 check Trip Advisor fiance ' book nonrefundable 5 night Circus Circus . I somewhat prepared get price . manor room first floor big outdate . leave dinner first night , sound like people we jump bed onto floor . wake first night cry toddler room next door . luckly , bad night noise . breakfast buffet twice . get early line . beware sale reps Tahiti Village . offer discount dinner , show , etc . 2 hour time . they seem everywhere ! 
 Apr 9 2009 	 Old Smelly ok budget 	 group we IReland stay paddys day 5 day . clear happen Hotel end Strip . Curcus Circus I m sure day place Vegas face famous Riviera . remainder strip full modern first class Hotels . Circus Circus feel like accept defeat agasinst do not bother maintain I m sure always get business lie we , gang lad budget . there cearly 2 star Hotel , casino , buffet , staff , smell dread carpet throughout . lucky nicer room fab view , ................. inch thick dirt window , clean year . the smell throughout get couple day want , jealous walk strip see hotel know there s great bargain get now . look , do not care hygiene , food , bad mannered staff stay here . if , do not , stay well clear . Im go back July Mandalay bay ; - ) ) ) ) ) ) ) Dave , 
 Apr 9 2009 	 Absolute Dump ! ! 	 wife get back stay Circus Circus tell without doubt absolute bad . thought would save money decide Circus Circus really could not bad , , wrong . first impression get walk lobby check maybe ' ve make mistake . get check fairly late ( 11 pm ) decide take bag room explore casino . get room find toilet break flush properly , faucet sink could turn constant flow water come still trash trashcan room . instead initially give we another room send maintenance guy proceed tear toilet apart try fix . ' m kid , toilet part bathroom floor , complete utter mess . come find toilet would replace . call front desk request another room hour later actually get one . get settle 2nd room go casino . walk around 15 20 minute take . wife nervous due seedy gangster like character walk around casino , feel completely place return back room . needless say soon get mornin go get taxi get hell not return late evening . much hate say , absolute bad stay ever Vegas would steer anyone away go Circus Circus . 
 Apr 6 2009 	 great value room Strip 	 Circus Circus cheap , really cheap . 's glamourous place stay , still Strip , room large , pool reasonable , casino ok . free gaming lesson morning useful . be 20 minute walk main section strip , although Circus Circus Trolley . buffet fairly bad , $ 11.99 24 hour wi - fi absolutely extortionate . , though expect hassle Strip , not really want pushy sale technique wander hotel . , all - in - all , pay incredibly low price reasonable experience . 
 Apr 5 2009 	 dump ! ! ! do not stay ! ! cheap reason ! ! 	 room basic grubby . do not even light ceiling use minimal light provide two lamp navigate way around room . hundred room hotel send section room locate ground floor rear hotel cross busy road get ! do not even get view strip make * * ty room . hotel far end strip good 45min walk action . cab costly public transport .. ' The'Duece ' JOKE ! lucky get bus dare comment driver get swear abuse ! great service ! advice spend little extra stay somewhere nice will make holiday much enjoyable . 
 Mar 31 2009 	 blast 	 not know expect $ 26 / night , thrilled . riot . trapeze artist , midway , casino , entertainment , food . want stay somewhere not stick push stroller , not . fun age . great location , clean quiet room ( tower ) , super nice bell man , free valet , front desk so - so , floor staff bartender great . highly recommend . 
 Mar 31 2009 	 West Tower Room Nice ! ! ! 	 boyfriend get back fun little weekend trip Vegas . whatever , request West Tower room , pay upgrade room . know old outdated room , West Tower Room really nice flat screen tv 's nice bathroom . use stay Circus Circus time grow , place nostalgic , picky nice hotel room totally impress West Tower room . price , can not beat , especially right strip . casino old , West Tower Rooms nice 4 star hotel ! not mind walk , everything strip 10 - 15 minute walk away 's great get excerise people watch course . also , not miss Paris 's Le Village Buffet weekday lunch , Saturday / Sunday champagne brunch buffet $ 24.99 per person , great food drink lot champagne mix little cranberry juice ; ) . 
 Mar 29 2009 	 awesome one favorite hotel 	 feel like paradise stay hotel mean love room service everything cool can not wait stay : ) 
 Mar 29 2009 	 would not go back 	 Manor building c # 2227 Walls paper thin , could hear people room next we talk normal voice , small child run & amp ; yell hall way 10:00pm 1:00am . ask next brother & amp ; sister - in - law & amp ; put opposite end hall , also make reservation KING bed & amp ; get 2 queen bed instead . MK Bakersfield , Ca 
 Mar 28 2009 	 never go 	 room horrible grubby especially bathroom whole room date view construction site around 34th floor , book hotel two kid mainly adventuredome , get adventuredome closed maintenance four day , courtesy call say happen , ( reason book ) smokey atmosphere everywhere , ( understandibly casino , kid walk past smoke get building ) take age get building room , seem like corridor corridor oh beware constantly zap static nightmare . hotel could actually enjoy vegas . foyer near main entrance date grubby white silver chair look cheap nasty . Forgot mention child come nasty virus ! ! ! ! ! 
 Mar 27 2009 	 could not ask well 	 booking trip read bad review bad review . ' m sure people expect think everything great . housekeep awesome ! go buffet time think well worth . husband love sport book . pool great . room clean spacious . family five one room 9 day fine . not take bad review seriously people must use 5 star really uptight . ' ve stay plenty hotel Circus Circus not top line far dump . 's average place 's great family 's single people stay 3rd floor not like kid . 
 Mar 26 2009 	 love place 	 first ... see lot complaint long check time . Circus Circus create solution , need inform . Circus Circus create express check service . call number , give room preference put express check list . wife call check drive Las Vegas . upon arrival , find check line 50 - 70 people . find line 2 people , marked & quot ; Express Check - In & quot ; . save least hour headed room within 5 minute . believe , though , get lot angry glare uninformed traveler wait line much long we . our room 33rd floor ( request high possible ) corner hotel . seclude quiet . opt pay 10 buck night extra update room West tower . clean ( though admit find hair two three pillow ) comparable room high level hotel . enormous favor pay extra 10 buck night update room . , least request tower . manor room cost much tower not update , put either not specify . after getting settle decide get dinner . & quot ; Casino Cafe & quot ; enjoy last visit limited hour close try & quot ; Mexitalia X - Press & quot ; . not expect much mexican pizza order end pretty good . price typical chain restaurant , i.e . applebee , Chili 's , etc . portion pretty big . bring half pizza back room . we relax room awhile watch tv flat panel head casino . decide go & quot ; Slots ' Fun & quot ; , casino locate Circus Circus property home primarily vintage slot machine still accept penny , nickel , quarter , etc lieu credit . casino also feature 16 oz draft beer margarita $ 1.25 , though wife say margaritas little alcohol . want try one gigantic $ 1.99 hot dog snack bar cash . casino also Subway little turn find price literally twice much typical Subway ( footlong least $ 10 ) . go back Circus Circus eat cheap meal Mcdonalds , locate Midway level . con -The parking garage ancient kind pain neck place crowd . be also pretty filthy ... arrive find soda bottle fill urine sit front parking spot near we . leave next day still there . also , tell check would view strip . instead , view Adventure Dome manor room . all good stay certainly back ... 
 Mar 24 2009 	 great stay . 	 hotel clean , plenty good towel two we , need light bulb replace , safe open last customer room , wait 15 minute . check process fast think . huge hotel always lot people wait check , wait 5 minute 6 8 people front . bill difficult understand , everything break person individual charge , like phone charge whether use . think charge fairly price pay , great deal . would appreciate free internet though , never hotel pay extra . , not mind crowd ( lobby always busy full people wait something ) place great ... kid , even well kid activity Adventuredome . food buffet okay , lot fresh fruit take - out cup coffee morning . 
 Mar 24 2009 	 never stay 	 hotel post fraudulent charge credit card , offer free buffett make criminal action . housekeeping staff could speakl english . huge stain & quot ; remodeled & quot ; room carpet . front desk staff unhelpful rude . slot pay well guest Nascar stare arrive . entir experience hotel horrible . never stay , even offer we free stay . 
 Mar 22 2009 	 return ! Circus Circus Circus . 	 family return weeklong Spring Break trip Southwest . find booked night Circus Circus reasonable rate . rare place charge $ 15 - 30per kid extra . expectation high , not expect surprise encounter . arrive early afternoon . decide delay check - in see lenght line front desk . St. Patty 's day place sell . head strip day evening fun . got back around midnight , exhausted , check . line not muchshorter three agent work , part time . take hour , get key , headed room , key not work . go back lobby , get two key , not work . go back lobby , kidnap nice bell desk guy . come room , keydid not work , either . say would security open room case someoneelse room . past 1:30 . security show ( also nice guy ) opensthe room , peek inside , say clear . son go first , clear . someonewas sleep one bed . security stay we , call downstairs , get put hold , twice , move we another room ( vacant ) . 2:00 am . Got hour sleep ( nice room ) go downstairs tell story manangement . while desk supervisor empathic , not offer anything , ask reccomendation breakfast . give couple 2 1 buffet ticket . bell guy Security guy , staff seem indifferent , overwork annoy . stay Sam 's Town last year would definitely stay instead CircusCircus , even though way strip . 
 Mar 21 2009 	 Perfect exploration Las Vegas 	 like & amp ; husband purpose visit holiday destination sit hotel watch tv scratch behind ! get , find new thing see , new place go , find adventure ! Las Vegas goodness sake ! old ? - yes ! granny wallpaper ? - yes ! child around place ? - yes ! expect ? hotel stick old day ..... good old day ! ok may zoo animal beck call , marble , gold & amp ; diamond encrust floor really care ! bright light , friendly earth people spend want feel , nice friendly staff clean comfortable room view- ok view could possibly car park front hotel nicer hotel let stress point ! say room ! get top end three star standard everyday half price nightclub entry ticket Vegas . strip , oldskool top get free fantastic circuis act play . beer cold , flow & amp ; free matter bet ! stay hotels Ireland rest world will tell good standard cheap hostel Arran Islands ! $ 500 slot pretensa , good cheap fun ! book hotel look review horror depression fear ! hotel cut rest , great starting point Las Vegas holiday ! last thing say go Vegas do not drink much , bring sun cream , wear good walk shoe relax ! worry small thing miss big thing ! also slot fun well ! well do irish rugby team- irish ! 
 Mar 21 2009 	 Giant Garbage Bin 	 hotel like giant garbage bin , everything filthy . list pros con stay : pros : -super cheap price , even tho dump , get pay guess , do not pay much , night slow stay good room cost basic room another 3 star hotel . -great location , right las vegas strip.-nice casino , restraunt , lot shopping , free circus act , entertainment definately , good , there . con : -my room dirty do not want sleep bed without wear hooded sweatshirt hood . huge black stain carpet , maid do not clean room well , orange pop spray wall etc.-kids everywhere , kid cry , totally kill Vegas vibe.-very outdated decor , major need renovation , especially las vegas , need game.-you stay Sahara Stratosphere almost price get 10x value . would recomend Stratosphere anyone consider Circus Circus , Sahara good ! 
 Mar 19 2009 	 past sell date 	 go circus circus friend dissapointe room hotel . date need update . pool area tiny next road could hear alot noise . seem full ghetto style people hoard child . ' m sure anyone want go child would like place plus theme park circus act , however 2 adult alone bit cheap tacky far hotel attraction . would go back anyone ever stayed tell since . price however attract people . 
 Mar 18 2009 	 really Circus 	 21 year old guy group friend ok , otherwise probably ! 11 pm take we 3 hour check get correct room ( sit hallway 45 min wait get king room , first room full bed . call front say would send someone unlock different room person never show , end walk mile back desk ) . 3 hour fiasco , want eat go bed ( dinner reservation Anthony Vics Golden Nugget , cancel ( Anthony Vics amazing ! ! ! get night later ) ) cafe open , smell bad 3 server place pack . get chip market go bed ! needless say check next morning move Las Vegas Hilton , ( remodel room nice ) .i guess besides POOR service , weird smell , hard bed , crazy weird hallway front desk room ( seriously freaky , think scary clown , loud scream , dark ! ) , get room unusually quiet . maybe everyone stay hotel keep room Circus Circus get free theatre ticket ( never check need room key get free Circ ticket Mystere Treasure Island ) think Motel 6 Meth ! ! 10 million child run around , know Vegas , be 2 am . put kid BED ! ! ! ! 
 Mar 18 2009 	 Circus Circus bad 	 far bad hotel ever stay , group we come bowl tournament Cashman center , originally make reservation Flamingo , find rest group stay Circus Circus , change order stay group , first mistake , room west tower dingiest part hotel , unpacked go buffet , terrible food , table look like not clean day , never go back . one morning come elevator , malfunction ( floor even door ) trip walk , wrench knee , spend rest day limp around vegas . take virtually day shut 1 2 working take forever get one , minute get ambush people try sell timeshare bull crap everywhere hotel , ready hang sign around neck say thank get tired say every 5 minute . staff anything helpful , one case right rude husband , need talk one top manager 1 person helpful , finally find one already leave day . stay nightmare would never recommend anyone , pay extra money well hotel well yet , go Freemont . 
 Mar 17 2009 	 impressed ' m afraid .... 	 grubby stank stale cigarette smoke wherever go . full loud family not suitable we , ' m afraid . room great size bathroom , however , it . the real gem FAMOUS STEAK HOUSE DEFINITELY worth visit , fact , not go home without sample beautiful steak ! classy . 
 Mar 17 2009 	 Location Location Location ! ! 	 stay hotel March 2008 5 night . recommend hotel friend stay , slighly worried would childish theme Clowns ! ! thankfully , love ! ! room massive 2 double bed flat screen tv en - suite bathroom . location : strip , near end statosphere ( must evening get amazing picture ! ) . 5 min walk Fashion Show Mall , advise hotel next Circus knock starye build another hotel , year ago may nearly do seem get hotel do rather quickyl ! ! ! hotel buffet breakfast , amazing ! cook breakfast , pancake , potato , cake .. pretty much everything ! ! worth fill morning set day extremely cheap ! ! otherwise mcdonald around corner hotel also mcdonald hotel , upstairs .... do not even realise couple day trip ! ! go Las Vegas want good value hotel ( let face , really sleep room ! ) hotel . 
 Mar 15 2009 	 family friendly good value . 	 second time stay child . make sure request West Tower . room MUCH nicer . get incredible deal $ 34 per night . get two room ( connect ) give we room need two bathroom . room super clean . find trash behind dresser chair , get pay . stay five night good experience . Valet parking free godsend could end lug bag long time . complaint ride game old many order . lose countless quarter game work . wish would replace fix . two major ride adventure dome operational . staff manning ride really need cup coffee something . seem bored death almost bother operate ride . Circus act amazing . son love . large pool operational either . little pool work large pool well . staff come contact friendly except security . first night fire alarm go 1 am . get dress begin head room security guard came bark we go back room false alarm . everyone ( kid ) pretty freak alarm guard yell we like fool leave room seem pretty line . last time stay issue security rude . seem need lesson customer service . several excellent meal great service Garden Grill . eat Prime Rib $ 12 . Krispy Kreme store McDonalds great convenience . fan buffet dinner like breakfast . good dinner take Duece go strip . maggiano great choice . 
 Mar 12 2009 	 West tower room good weekday value 	 look budget room , . need good service willing pay , much nice place . stay week rate half . Wish would have . we stay West Tower room 83225 . think room nice enough window look like not wash 20 year . ruin view . we wait check almost 7:00 P.M. not problem . casino advertise $ 3 black - jack table never able get seat one . typically one $ 3 table usually half - dozen people like wait seat . it probably 3/4 mile next decent casino . long way couch potato bad weather nice . take bus far . find Vegas vacation much walk anyway extra mile not bother we . public bathroom remind high school locker room . dirty , far , stall . the entertainment hotel ( circus act etc . ) well hotel think . fact , can not hardly think hotel ( free ) entertainment . if see vegas budget , stay west tower room . not spend much time room anyway . if luxury gig afford , recommend Ceasers , Venetian , Wynn , Palazzo . absolutely beautiful . 
 Mar 11 2009 	 great value ! 	 stay Circus Circus February 21st till 28th . really nothing negative write hotel . friend get really nice room West Tower , clean spacious . Location Circus Circus good . 's 15 minute walk new hotel like Venetian , Bellagio etc . would definitely recommend everybody ! 
 Mar 6 2009 	 nice room good facility dirty laundry unhelpful staff 	 overall , hotel good value , nice room worth money tv , bathroom , bed , room facility satisfactory . unfortunately show four room could find bed not stain lipstick peculiar black mess ( could result bug insect ) . final room also problem door take two day resolve . apart enjoy stay would consider stay Las Vegas budget , however hopefully four five star possible next time . finally , theme park good fun fairly cheap amenity perfect enjoyable , rather cheap , day ! 
 Mar 5 2009 	 stay away pay little 	 stay , boyfriend decide walk going eat , . cleanliness lack , place nasty stink . smell hits walk stay day long . boyfriend use bathroom say look like not clean day horrible . imagine let child run around place , feel dirty leave right way . people hang make watch back . not waste time go . 
 Mar 5 2009 	 pretty good hotel 	 like circus circus , friendly live hotel 
 Mar 4 2009 	 beware thief ! ! ! 	 stay hotel four night . breakfast hotel go get cup coffee . come back within minute , shoulder bag , contain laptop book , vanish ! ! six people dine area time , none move seat none anyhe hand . people move staff , deny see anything . , breakfast , lunch dinner , beware thieves ! ! ! 
 Feb 28 2009 	 bad palce ever stay 	 stay night Feb nightmare fro begin end . as soon arrive get uneasy feel lot undesirable hang . check dark slow . first room 10 min reception get lift straight away unlikely . discover run hot water ! therefore unable use shower . wait age get front desk phone get move different room 11th floor . Saftey deposit box do not work room . 20 min try report tell someone would right up.after 20 min , another phone call tell would take hour someone come up . we end late show Mirage take valuable us.our room 2 bed first bed go get soil linen ! morning wait 30 min lift . tell thio regular occurance lift always break . casino smell mixture body odour vomit smoke . generally hotel run nobody care . we feel generally uneasy vunerable place . it far end strip walk area feel like mugged get main strip . would recommend hotel cost ! 
 Feb 28 2009 	 really really bad ... 	 second stay Circus Circus – despite remember great stay time , thought would kid friendly two young kid , pass . suppose town day , car trouble , end stay long one night expect . much stuff four us , car shop strange city , think move well hotel would hassle toughe . bad - non - smoking room reek cigarette smoke , shower curtain one bathroom heavily laden smoke remove – , notice heavy black mold shower curtain ring – ceiling bathroom mold collect shower also full black mold . fan bathroom break . think ' one night , think something could live , but … . bed bad pull - out bed , metal spring poke hurt knee body – awful . layer blanket bring home bed , hurt spring . smell vomit hallway , wall thin , turn tv drown people next door – turn tv drown adjacent room hallway sound , security knock door tell we turn tv ! order pay movie , would play ten minute , screen turn blue , . call front desk report , tell turn tv try . thing happen , end double charge movie . offer credit movie phone , credit reflect bill . complain , front desk insist engineering come room verify problem give credit , tell night say already late night put family bed – engineering come anyway almost midnight . complain ' receive credit back movie go blank , despite engineering door , ask tell would get credit , ' remember name , essentially accuse lying , treat pretty badly . two adjoining room , hotel apply $ 59 deposit room incidental . return room night dinner , security lock we one room , , say ' anymore credit leave one room movie order call make , go lobby 11 pm night put another deposit , even think room still full portion unused credit , never credit back movie ' work . say never make call , tell charge mandatory fee per day local call , whether make call . next morning , spend hour pass around different people , try get movie charge reverse problem rectify , someone eventually , reluctantly give in . the refrigerator freeze food . internet $ 10 15 minute , hole- in- the - wall room , really rude attendant . go use internet try find another place stay , rental car , 15 minute , think hassle move would harm good , think would one night could get . need rent car , Dollar Car Rental hotel say one car leave , tiny crank window , charge we almost $ 100 per day , tell we would early return fee bring back early well late return fee ! say accident would responsible repair , would also keep rent car everyday fix . luckily , keep car one day accident , use internet another $ 10 - 15 minute , find another car enterprise – real car – $ 30 per day early return fee ! find stay long car repair , front desk want jack price almost double originally pay – go supervisor , Manish , nice agree renew stay originally quote price – person hotel seem care really nice – everyone else treat we like criminal . eat buffet – $ 50 lunch family 4 - dessert pretty good salad bar fresh , main dish really bad , spit several thing napkin awful . really nice area KOA campground folk next hotel , find look laundry . KOA campground facility well facility regular hotel guest ! ! ! although never camp , wish instead actual hotel . even though KOA facility nice , laundry room leave clothe bad condition wash , end rewashe hand clothe back room . sure room would passable one night , expectation stay , many issue problem ever recommend hotel other , ever plan return . 
 Feb 27 2009 	 Implode soon ! disgusting . 	 stay , wife decide walk play . not problem kid like talk kid place . problem cleanliness lack . place nasty stink . smell hits walk stay day long . wife use bathroom say look like not clean day horrible . imagine let child run around place kid ride etc filthy rest place . 
 Feb 26 2009 	 Mixed Review 	 mum stay Circus Circus week February 2009 . read review tripadvisor little worried . hotel reception dark always busy , people queue check 24 / 7 . staff helpful friendly . choose manor room , great get noise theme park , hand 5 minute walk entrance elevator another long walk room . good can not walk much ! ! room 's self ok , nothing write home , basic ( tv , iron , haidryer ) safe room pay , two quater time open ! ! work , report nothing do it . the location little way strip , pretty long walk mast everything . the one thing near Fashion Show Mall - great trip shopping . would not advise taxi 's cost fortune $ 20 ride one way ! ! get Duce bus ticket $ 7 24 hour $ 15 3 day travel . clean reliable cheap ! 
 Feb 23 2009 	 get pay ... 	 boyfriend stay Circus Circus week last March . okay ... room nothing special , not awful either . worked need . overall , real problem stay , also not spend lot time hotel , since mainly go Vegas visit friend see city . know say 's locate & quot ; heart strip & quot ; not completely accurate . first , be nice walk around take sight , hopefully not expect walk everywhere -- get exhausting ! budget travel kid , would probably complaint Circus Circus . look 4 5 star hotel , would definitely place . 
 Feb 22 2009 	 Circus Circus 	 horrible check line , tell expect crowd ( Saturday crowd ? ) go room ( 10 minute walk , 2 elevator ) walk room first thing smash cockroach wall , hair dryer bracket break lay counter . sheet disgusting , indoor outdoor - like carpeting nice view roof air conditioning unit . freight train sound a / c unit bed wakes night . child scream hall 6 . disgusting stench body odor smoke area casino . expect price ... get , next time will not cheap [ -- ] . 
 Feb 22 2009 	 10 + trip vegas bottom barrel ! 	 hold annual franchise convention 100 guest .. check bad , average 30 min per couple . service pitts , bad food garden grill bad server .. get ask drink 7 time , wait 20 minute inital request ... food take hour half , managment hand excuse . Place smell bad ! west tower room much well rest room .. couple move room 2x bad room , work , plumb back Etc . . staff helpful ... good PART PLACE STEAK HOUSE . 
 Feb 22 2009 	 outdate 	 stay 4 night Feb part Virgin Holidays trip . be similar thing worth see upgrade Vegas part . hotel disappointment compare hotel Vegas . need update not seem care . furnishing tired although not dirty feel like . also quite far rest strip prepare walk alot get anywhere ! far well hotel Vegas not stay Circus Circus . 
 Feb 15 2009 	 nothing like other Vegas work fine 	 wife go Las Vegas 5th wedding anniversary , Valentines Day . go February 9 13th cheap weekend valentine Day . book trip Orbitz receive really great deal include airfare hotel room Circus Circus . arrive late 9th people check . check quick easy . man check we friendly get we book room approximately 5 minute . pleased read prior review make seem like check nightmare . hotel old somewhat tired dirty place . definitely could use lot cleaning work bring par other area . store hotel generic little selection high price . McDonalds Krispy Kreme Donut shop inside hotel . room west tower 18th floor . room perfect , except electrical outlet . hassle several thing need plug charge . outlet problem , absolutely could please room . bed king size oh comfortable nice . tv flat screen wall . room face opposite strip face adventure dome . 18th floor , dome great view snowy mountain . love view much highlight trip . really quiet room hall . hear another person entire trip room . room bathroom extremely clean problem . happy could . check breeze . take less couple minute check . ever visit Las Vegas tight budget , definitely consider stay Circus Circus . however , one thing may keep stay hotel location . pretty good walk middle strip complete opposite end famous Las Vegas sign . walk sign back first day take long time really wear we . may would rather stay centralized location cut walk time . 
 Feb 13 2009 	 good value not mind kid ! 	 spotless good value room nearer top end strip bit walk 's unless stay site . clientele rather annoying though lot kid teenager run . spend bit stay somewhere far classier unless kid ! 
 Feb 10 2009 	 get scabie hotel ! 	 hotel business . stay couple year ago every person room get scabie . case aware scabie , short description : scabie contagious disorder skin cause small , wingless insect mite call Human Itch mite . female insect burrow skin lay 1 - 3 egg daily . untreated , female continue lie egg five week . egg hatch new mite begin cycle . ( http : //www.safe2use.com / pest / scabie / scabies.htm ) basically terrible itchy ugly rash body . clearly sanitation hotel even close safe standard . never set foot . report case hotel reimbursement ever . mention people gamble hotel completely disgusting pervert human . would never let child stay hotel regardless cheap . resort strip convenient slightly expensive . avoid Circus Circus cost . 
 Feb 9 2009 	 great place stay 	 read bad report wonder people expect . price good spacious room excellent wonderful view . fault carpet pretty worn . casino circus act escalator ride away . Circus Circus pretty central casino . staff great unfortunately Las Vegas go gamble . the casino circus act escalator ride away . 
 Feb 5 2009 	 great price 	 check - in take time . booked king room lady say right lift really noisy take queen room . room average size , big bathroom . beware lot kid ! buffet great . ( not get rib steak buffet restaurant . seem ) Fun place quite walk anywhere . definately invest day bus ticket ( $ 7 ) hotel look lot well nicer happy . probably stay somewhere nice next time though . really tight budget find plenty thing . not buy night club ticket ( night club free eg Cyote ugly , bank ) get early want go club , big line . fire alarm go twice lucky walk front door dinner time ! 
 Feb 4 2009 	 Fun Circus ! 	 want stay hotel fairly decent price thought would fun stay Cirus Circus really think 4 adult stay place lot lot lot child . much love kid would nice stay somewhere adult , do not really think ! ? ! ? ! LOL . otherwise hotel great , adventure do actually pretty cool get expensive . also way well buy thing little shop strip go outlet stores buy thing hotel since quite expensive money be not object go hard fun ! make sure make trip Fremont Street ! ! ! amazing . ' Duece ' ok ride stay towards front upper level . DEFINATELY carry hand sanatizer walk strip never know thouche hand rail thing be not always somewhere wash hand . someone ask want ' free show ticket ' give thumb unless want heckle 2 hour presentation time share ...... ask anyone everyone strip almost every hotel . think get deal stuff do not actually tell we time share we pay $ 40 save we seat would get money back wwe also get free ticket show worth it . otherwise Vegas blast ! 
