room 	 would highly recommend hotel - fantastic spot Manhattan ( walk distance 5th Ave subway etc ) be neat , tidy decent price . our room 2 single bed inside , must admit much small expect , not bother we one bit - be New York , be go spend extend amount time room , be crazy ! tiny room suit we sleep . clean comfortable within budget ( $ 1000 5 night - book expedia ) .I highly recommend hotel would definitely stay . 
 Aug 21 2008 	 great little Hotel ! 	 book Thirty Thirty read trip advisor review , along many positive one negative decide take chance . happy . great place fab location . book two room Thirty Thirty , one superior one premium . room good size not squashed . clean , stylishly decorate bathroom huge gorgeous . staff friendly could not helpful lot way . give direction advice place eat hold onto luggage etc . brill . great start holiday would definitely stay Thirty Thirty . 
 Aug 20 2008 	 funky boutique hotel overstatement 	 stay two night business trip . good proximity downtown business far Chelsea good restaurant . nearby hotel lot place grab coffee , bagel , fruit close Broadway toward toward Union Square . restaurant adjacent hotel not try . room twin top floor feel like attic narrow passageway small & quot ; L & quot ; shape room . window large crack tape . front desk staff bit surly . Rate Sunday night great deal $ 178 rate jump $ 268 second night add numerous taxis translate $ 300 room . room might ample . would recommend ? probably yes $ 200 / night want stay East Side $ 250 / night . 
 Aug 18 2008 	 Best Hotel New York ! 	 opinion hotel stay go New York . reasonable hotel rate , two block subway easily accessible , excellent restaurant location especially Crooked Knife opposite hotel ( not go next door - think Zana - poor food & amp ; staff ) . excellent florist & amp ; tourist shop side . front desk staff accommodate & amp ; friendly - go way assist travel plan & amp ; query may . porter helpful baggage & amp ; may able answer query would ask front desk .... one must commend Mohammed alot contact & amp ; must thank sincerely find purse & amp ; hand Security . appreciate honesty . the bedroom may small size really do not matter spend little time ... long bed comfortable & amp ; believe ! bathroom adequate care long shower function properly & amp ; yep - super ! make hotel worth go back comfortable bed & amp ; proper shower - that s need & amp ; get hotel ! ( & amp ; usually decent breakfast like NYC hotel , one not provide however plenty cafe nearby & amp ; superb breakfast / food buffet end road - Suzies ) definitely come back hotel future experience sub - standard hotel uptown good value money . 
 Aug 2 2008 	 ThirtyThirty thumb ! 	 stewardess IBM employee many year ' ve stay hotel literally world year . book 6 night Hotel ThirtyThirty New york British Airways June 2006 , thought get good design hotel $ 200 per night . get nightmare ! first get room bearely big enough small bed , small chair teddybear . ( cute ? ) enough room suitcase anywhere , door tiny bathroom could not open completely without knock wall . obvious smell homecooking room next door , location end narrow dark corridor combine view dump backyard make ask another room . without even try show annoyance outrageous request , give room closet twice size room . foldable ( ! ) door small , old bathroom impossible close open , go sideways . small bed bedspread full stain . I ask yet another room , receptionist incredibly hostile , exhausted . so - whatever , not ever stay hotel . location great , think even New york hostel must provide pleasurable stay Hotel ThirtyThirty New York . you & quot ; warn & quot ; Anne E. Beck , Oslo , Norway . 
 Jul 28 2008 	 great value : clean quiet pleasant room 	 second stay hotel last five year , remain one attractive bargain mid - Manhattan . addition wonderful location , hotel remain clean well - keep ( though huge empty lobby could use amenity ) . time stay one slightly large costly room ( since remember small room bit claustrophobic ) . large room good - sized Manhattan would ok couple : serviceable desk , chair , small sofa arm chair , addition queen - sized bed , though unfortunately vanity - sink room rather bathroom . outlet jack , probably wifi- laptop can not comment . coffeemaker ( important since 's room service , downstairs bar ) . since hotel thick wall , room corridor 's end face airshaft ( mean real sunlight ) , night blissfully silent . 
 Jul 23 2008 	 try white sock test 2 day'syou will see result ! ! 	 arrive France monday evening 16th june , round 10,00pm normal check , ask room & quot ; smoker & quot ; ( reservere march ) photocopy reservation not even look , wan na smoker ! say , yes , ROOM 819 , ok , ( first impression Lobby correct pic net ) room door open , OMG . review right , ! ! ! hopng go to wrong , , room small , enormous tele corner hit head everytime want see window ! ! opposite tall building ( did'nt know sunny cloudy ! ) & quot ; Bell boy & quot ; show we AC work , last see , 10 hour airport 's & amp ; plane , relax cigarette need , go , ashtray 's ! ni coffee maker web site ! ! unpack noticed hole duvet cover , go recepection ask ashtray , like ask gold ! ! mean time borrow resto , coffee maker come next day , breakfast ! ! double glazing room , beneath Generater start 6.00am go one 15mins slow 2min , hussel bussel city , wan na come back abit peace quite , helas non , .. book week , 4th day , treid change room , much hassel , be stay ! ! ... first 2 day 's sign chambre maid , non linen change , & quot ; White sock & quot ; 2 day black , mean Black , ... week come end , ( thank god ! ) ask reception Super Shuttle take we airport , ( JFK ) receptionist look watch say late , ( 5 min ) sugest car ! ok , 60 $ ( shuttle17 $ ) pay 10 $ hotel , suposidly 50 $ driver , driver time , everything go well , untill hear say something ( , not understand ) toll booth apeare , say 5 $ , , toll , .... , stay & quot ; Famous & quot ; 30 - 30 hotel , 245 € night ( price palace Paris , ) con - job car , never go back 30 - 30 hotel ! ! ! what s ad say & quot ; Multilinqual & quot ; 's load rubbish , 
 Jul 17 2008 	 AKA Hotel Filthy Filthy 	 frequent traveller New York know expect city hotel . first time encounter problem , hotel dirty even see resident cockroach time room . however , be good location good price , please aware may standard look . staff fine though , complaint cleanliness . 
 Jul 15 2008 	 Horror hotel 	 stay thirty thirty hotel party five . image internet display hotel light , bright , clean stylish . however , partner reach thirty thirty shocked . staff extremely rude almost argumentative tell we room ready , way fault . although non smoking room request , tell busy period except room smoking level . enter room greet dark , stuffy , unclean room , stain sheet dry sick patch carpet ! ! slept night woken cleaner telly 4.00am . live / break room beside accomadation , certain time day night room become overtaken smoke . friend move room WINDOW FELL ONTO STREET one night ! could go forever ! ! although , location ideal extremely central , would reccomend hotel anybody . 
 Jun 30 2008 	 great base sightseeing 	 great hotel base sightseeing . staff friendly , helpful polite . room clean comfortable great walk shower . number good authentic New York deli restaurant close include & quot ; Tastys & quot ; Crooked Knife ( opposite hotel ) . would definitely recommend hotel look frill base sightseeing . 
 Jun 26 2008 	 double size bed rest States consider Queen size NYC ! 	 book two hotel room ; Queen Deluxe wife double child . & quot ; Queen & quot ; size bed queen double . complain assure mistaken queen . say size bed kid 's room , tell incorrect , definitely Queen Deluxe . lay later night , know double foot hung end bed call front desk second time complain , give spiel different front desk person tell leave message manager call morning ( never remainder 5 night ) . morning , go front desk , complain small bed , manager still tell , & quot ; double bed rest States consider & quot ; Queen & quot ; size bed New York City . & quot ; Honest , say two front desk people . explain headboard room queen size mattress much small , argued bit , demand either & quot ; Queen & quot ; size bed pay room twin bed . queen could find twin ... actually send check couple room still double . finally , ask king size bed hotel available . reluctantly , offer we one . positive side , charge upgrade hassle get large bed . also , aware hotel one time woman 's residence room various floor still ( something Rent Control Laws building convert hotel front desk tell ) . door tiny room ancient , quite beat compare & quot ; hotel & quot ; room door & amp ; case , resident next door room , pay $ 350 per night , leave door open pass unbelievable cluttered , messy , space fill ceiling possession ( literally ) . daughter son - in - law , New York time , think room great would probably stay . however , first trip Big Apple , would definitely . 
 Jun 21 2008 	 Great Budget Hotel 	 like viewer site , boyfriend quite hesitate hotel book recent review provide site . however , relief surprise great hotel want clean comfy place sleep . mean full scale luxury hotel like Ritz Carlton big luxury hotel Manhattan amenity 5 - star service . ideal location , clean room , friendly knowledgeable staff , reasonable room / washroom . we stay Room 1038 , king size bed washroom make entirely slate . nice touch slate ! room fair size New York hotel , two tv 's , one common area door locate desk , another bedroom . chair sofa room bit iffy really sit sleep long time ? ! bed comfortable bedding clean . maid replace towel everyday tidy . provide soap / shampoo / lotion however choose use one bring . washroom also hairdryer not bother bring one . room in - room safe - not big deal we least . view room probably negative thing room never bother we cause never room long except sleep . oh , cockroach reviewer - room afraid find single one . might depend room might stay ... bug matter . I truly would recommend hotel look stay somewhere reasonably price Manhattan . close subway line ( 6 line ) , minute Empire State Building along many attraction . thing lack might need commute bit find nice restaurant that s give . 
 Jun 20 2008 	 small room good location 	 first trip New York City love ! .We book dial flight lucky rep know city well ( Thank youTrisha ) hotel two block empire state build madison park avenue . easy access public transport . hotel bar restaurant attach quite expensive directly across road entrance crook knife bar good value good food do not want walk . hotel clean staff friendly . room 7th floor , room small compare US hotel room stay . room clean bathroom . hotel suit need budget . definatly go back New York travel budget would use 30/30 . 
 Jun 17 2008 	 Disappointed 	 Bedding good , room large , shower great . interior room ; view building . room cave , enjoy stay . wireless internet extra , wire connection free . Cable tv basic . general confusion time front desk , give free night , sure know . may purpose ; since locked room couple time , return up delivery . say check , ask . but would stay . 
 Jun 17 2008 	 horrible Noise Night Day 	 number decent good hotel within block two Hotel Thirty Thirty . make mistake stay one ! ? ! restaurant street level loud patron outdoor cafe night . also restaurant directly across street outdoor cafe patron even loucer ! make matter bad , morning , 6:30 a.m. Hotel Thirty Thirty crew power washing sidewalk front hotel two hour ! ! ! noise make impossible sleep . needless say , stay another area hotel next time return New York City . 
 Jun 14 2008 	 reasonable hotel 	 book thirty - thirty website get superior room slightly cheap rate ( $ 800 3 night ) , not bad consider location midtown Manhattan , near 2 subway line . room large New York en - suite shower / bathroom walk wardrobe . staff friendly enough , room clean daily high standard . negative point : - view room , window look back building . - Air conditioning noisy switch night . - signal tv light not work . 
 Jun 4 2008 	 Thirty Thirty - Perfect 	 four night stay hotel really excellent . Booked BA Holidays , affordable rate & lt ; £ 90 per room per night . great location day tour Manhatten . room fine , massive clean bed comfortable . wnat affordable , well locate place NYC , go Thirty Thirty . 
 Jun 1 2008 	 forget 	 Broom cupboard size room furniture , cockroach staff go motion say grubby call 3 star hotel . oh yes take ear plugs noise ( inside ) disturb sleep . well still pay buck stay place well . 
 May 29 2008 	 Thirty Thirty Thirty 	 Thirty thirty appropriate choice hotel boyfriend 's 30th birthday . stylish hotel , friendly staff convenient location - Empire State Building far we . find great breakfast cafe around corner we serve typical tasty New York breakfast . couple policeman come morning round doughnut whilst ... think urban myth ! room size not massive hotel good base sightseeing generally . clean , tidy good value money . 
 May 26 2008 	 Excellent ! 	 view bad report hotel , wife sceptical staying . adverse criticism without foundation . staff extremely welcoming , polite , helpful . room little small , New York . however , comfortable clean , fresh linen every day . even though choose smoking room not feel consigned Leper colony . reception area palatial three lift , internet access point , good public lavatory helpful bellboy . also find restaurant next hotel brilliant breakfast , lunch dinner . good quality reasonable price . location could not well Empire State Building , Macys short cab ride Times Square , Central Park , Greenwich Village etc . wife sixtieth birthday treat go well , mainly hotel . period stay - 04.05.08 - 10.05.08 
 May 23 2008 	 Nice Decor 	 Reception staff ordinary . impressed room , quite spacious . comfy bed / pillow , in - room safe , good sized wardrobe , desk , chair , new linen , paint , carpet . view air con vent low level external roof surface - worry . a / c work really well . coackroache problem heat ! ! ! ! small clean bathroom mini soap , shampoo provide . small souveni shop near reception small restaurant serve meal snack opposite mini shop . problem restaurant - nice quick service b / fast . hold suitcase tip . internet access reception / lobby . nice bright breezy lobby area . good value money Manhatten . Approx 3min walk nearest subway , little dodgy around Mad Square Gardens try get NY Penn Rail Station careful . 
 may 22 2008 	 Great Hotel 	 read bad report hotel worry sort place stay . pleasantly suprise good . stay Economy twin Room , 1204 , bit like compact travel lodge . clean good shower . also great view Empire State Building . room clean every day ( not forget leave tip clean ) . staff friendly helpful help first visit New York . breakfast restuarant hotel good bit pricey , end eat like native New Yorkers deli corner block right hotel good cheap , , get try bacon egg bagel . get 7 day subway pass be cheap pay every trip $ 2 per person . go Statue Liberty get 8.30am ticket que start early guarantee pass get statue . great time definately go back stay Thirty Thirty . 
 May 9 2008 	 Great value 	 boyfriend spend 3 night end April , pleasantly surprised . room ( 444 ) fairly small , suited need perfectly , one come NYC spend much time hotel room ! bed comfortable shower hot powerful , clean night really quite quiet , little noise form outside ( sunrise ) noise neighbouring room . would defintely recommend hotel other would hesitate return future trip city . 
 May 5 2008 	 bad choice price 	 short trip New York planned location hotel everything . find Thirty Thirty travel website . price average ny want share bathroom stranger . location close subway torward southern part Manhattan . room small clean . bed pillow comfortable . staff willing help direction NYC location . even let store bag check becuase late flight . overall price location great hotel . 
 May 2 2008 	 Location 	 stay boyfriend Dec 06 city break bit xmas shopping . stay 3 night plenty get everything do want . the staff hotel misserable anything , do not ever many dealing do not really affect we . room basic desperate need refurb , hardly spend time problem . the loaction could fault , walk almost everywhere , great . bagel shop corner street , ideal quick stop morning eat way . close attraction empire state building 5 minute walk . also buy city sightseeing bus ticket . pay $ 48 48 hour pass , stop outside Empire , fantastic . literally hop prefer stop take sight continue journey , save lot time walk , especially tight schedule . would stay agian purely location . 
 Apr 27 2008 	 cheap cheerful ! 	 stay Thirty Thirty 3 night . we book Kingsize bed room hotel direct early Spring special . the room reasonable size bathroom . small ' longe area ' sofa , tv table come room , bed area small wardrobe another tv ! however , room layout - check first bathroom much small other even though be pay price . also , room build safe although safe facility front desk . friend also stay hotel , 2 child 2 double bed , ' lounge area ' . first room not sofa difficult watch tv - say 's want NYC sometimes bit time require especially kid . anyway hotel staff quick help move another room , happy with . this not mean negative review ' m say be happy room say something ' m sure will assist anyway can . the standard room rather small would pay bit extra big bed room . there view room except onto main street type quandrangle back . no - one looking room either ! various ' old ' lady stay place not think be homeless . add character hotel way offensive . the location great other say , plus quiet ( always bonus ) . NYC seem much safe nowadays . enjoy walk able soak amazing atmosphere . if / when return NYC would happy stay Thirty Thirty . unless lottery ! give go ! 
 Apr 22 2008 	 great place stay 	 friend return stay NYC . thirty Thirty hotel great ! actually get upgrade friend birthday room spacious clean . maid service every day . manage get quick glance one standard room although quite small look clean tidy . hotel staff friendly would go way help . porter ready take bag receptionist helpful friendly . also leave baggage hotel check everything fine . the restaurant ' Zara ' next hotel nice friendly staff ; however prefer try see bit New York trying go many different place eat possible . nothing wrong bar / restaurant though . I ' ve read coment homless people hang around inside hotel ... not see one homless person wonder around feel completely safe time ( especially 2 woman NYC ) . also be look cheap place stay 's comfortable safe place go ... read many bad review hotel think maybe people expect much hotel . end day luxury hotel not expect ... want cheap hotel 's great location ( close empire state , Macy 's , short walk Times Square ) ... hotel stay ! overall good ! 
 Apr 19 2008 	 perfect ' Travelodge ' 	 husband stay ` Thirty Thirty Hotel ' 7 night . read review online , concerned make mistake booking . time book hotel half price hotel lower Manhatten area . really pleased discover perfect hotel stay . hotel similar ' Travelodge Hotel ' UK . look Ritz look elsewhere look clean , comfortable friendly place , . room double large bathroom clean towel day . location perfect walk finance district bottom central park catch subway ( round corner ) . empire State Building round corner . would thoroughly recommend hotel price location . clean , unpretentious place . make feel welcome staff . return JFK take ' black hotel car ' . yellow taxi ride much fun cheap ! 
 Apr 17 2008 	 Great Hotel Great LOcation 	 partner return 5 night stay Hotel Thirty Thirty , throughly enjoy stay . check head straight room 6th floor . room compact , clean comfortable facility , phone , safe , iron ironing board , hairdryer etc etc . bathroom small , sink locate bedroom , problem . shower large , always plenty hot water . location hotel excellent , minute Empire State Builing , Macys ! near subway 33rd st , minute away . 6 line , go downtown , use link line . lot walk everything close . Taxi cab also reasonable , be head evening grab one , cause like we foot need rest stage ! love stay hotel , would definitely go back , would definitely recommend frined . 
 Apr 6 2008 	 Nice accomodation 	 review many hotel boyfriend decide give Thirty Thirty try overnight stay ny . price fit budget location pretty good purpose . cab ride theater $ 10 plenty place within walk distance eat shop . mention previous review nice restaurant / lounge inside hotel . staff restaurant hotel helpful , professional , friendly . room small , not problem since trip overnight . standard queen room closet two small drawer televison two nightstand . room clean exception carpet heavily stain area , still looked freshly vacuum . bathroom nice clean . hotel quiet comfortable evening . budget tight would definitely stay Thirty Thirty . 
 Mar 30 2008 	 tony 	 nice place nice staff location , eat across street , irish pub two minute walk , Tube two block away £ 3 - 50 day ticket , go anywhere , good underground system , local bus travel ropy . if late flight leave case day buck , lock away . do not get con porter , book private cab airport will pay lot extra , get yellow cab , Shuttle Bus Tube will feel well , would certainly go back . 
 Mar 21 2008 	 great stay thirty thirty 	 return five day stay hotel . read previous review sceptical arrival ........ lovely pleasant surprise room , yes small beautifully form ! ! fresh linen every day , bed sooo comfy . great shower . staff really helpful & amp ; friendly . also small problem toilet sort within minute we speak reception . see long stay resident think quirky & amp ; certainly problem . we find really good deli corner 31st & amp ; Madison call times square bagel . excellent value & amp ; lovely chocolate & amp ; cheese muffin . fruit bowl really good too . all , state previous review great location . come back new york definitely stay thirty thirty . Dallas BBQ dakota building great food , huge portion , good value & amp ; nice margherita ! ! ! do not put give hotel thirty thirty try ; - ) 
 Mar 14 2008 	 heart Thirty Thirty 	 boyfriend stay hotel thirty thirty 5th -12th March ' 08 . read negative review site not expect great stay many people seem encounter lot problem hotel . however pleased say LOVED thirty thirty ... staff always friendly helpful , even arrange transport airport outbound journey store luggage day flight night . give room 205 second floor clean comfortable two us , slate bathroom gorgeous boast powerful shower hairdryer . bed make fresh towel leave daily . hotel perfect central location ... walk almost everywhere ... empire State Building , Macy 's Times Sqaure close . check offer reception ... manage get $ 6 ticket Madame Tussauds New York free drink Crooked Knife , pub directly opposite hotel . would recommend Californian Pizza Kitchen local eaterie , short walk street . downside would view room overlook square tall building , low level floor , do not get much light , minor flaw overall fantastic stay thirty thirty . would definatley stay come back New York . 
 Mar 12 2008 	 great welcome thirty thirty 	 return four day break New York daughter friend stay Thirty Thirty Hotel . hotel idealy locate sight seeing . block Empire State Building within easy walk distance Times Square shop especially Macey , sThe hotel clean , bed comfortable . room adequate need . staff helpfull friendly time nothing much trouble . even loan we umbrella rain fabulous time thank realy good welcome give everyone even arrange transport back airport . let we keep room reasonable charge late flight backI would recommend hotel anyone . People write bad review hotel must hard please . I , glad give try 
 Mar 6 2008 	 great location good hotel 	 be look central accommodation midtown , block Empire State building , not expect Hilton $ 200 night . thirty Thirty hotel well situated , 2 block subway , nice area immediate access many big sight NYC . Macy 's block around corner , Rockerfeller Centre , Central Park , Times Square stop subway . stay 2 night Feb 2008 , hotel room clean nice ensuite . room not huge care visit city want room sleep / relax half hour . everything work fine , except small incident toilet fix quickly helpful staff . load explore place excellent base get around city . summary , good deal , nice location . want luxury look elsewhere spend per night . cleanliness comfort location hotel good . 
 Mar 3 2008 	 thirty thirty - well expect 	 reading review site leave , travel trepidation , sure expect . however find Thirty Thirty well situate hotel , friendly helpful reception staff . room smallish ( expect rate heart NY ? ) clean plenty storage , tv , phone , hairdryer . bathroom average size ok 2 we . use adjoining restaurant breakfast , many place try , fine typically price . overall look reasonably price hotel easy access major sight would recommend . 
 Feb 20 2008 	 do not listen bad review ! 	 , partner another couple stay hotel 4nights valentine day period . NYC know hotel be not amazing unless pay alot do not go high hope ! read review bit concerned wrong ! room top floor average size , spacious bathroom , hairdryer tv , sell point hotel view ! ! look window stare straight empire state building - priceless ! room clean bedding linen change everyday . staff friendly helpful enjoy drink bar . hotel Plaza hey excellent location would definatley stay ! ! ! 
 Feb 19 2008 	 good hotel ! 	 like previous reviewer , read review hotel start panic even though recommend travel agent friend . travel friend mine ( 6 night ) not want worry review keep mouth shut . however get , absolutely nothing worry . check - in quick easy , problem book twin room room leave double , say get back next day not bother big deal - although must say helpful try rectify could embarrase uncomfortable situation . room bit small enough room double bed ample space put two massive suitcase . bathroom otherhand really quite big ! consist toilet , sink big mirror five light bulb along top ( sort would see actor 's dressing room ) bath / shower . water pressure shower comparable firemans hose - powerful , great . bedroom two small bedside cabinet lamp tv bracket wall , lot different channel . bed comfortable sheet clean cosy . change every day along towel face cloth . not get wrong room stayed not plush clean comfortable . be look good base , somewhere decent rest head stay fabulous NYC . another great thing place 's quiet - would not even know city , handy everywhere ! another thing end holiday door man organise we taxi back JFK airport save we complete fortune ( read review say rip absolutely not case ) . go experience hotel great would def recommend . 
 Feb 18 2008 	 Disreguard bad review love truth ! 	 pride reading review settle hotel , well judgement book 30/30 good deal Virgin , 6 nt price 4.I read review trip advisor , think oh god , rank really low let for . I go truthful hotel , ' really ' know expect , hope help make informed choice . go .......... arrival meet doorman straight away take suitcase place trolley , go reception , hubby go information desk trip display nicely . first impression , think begin need re - decorating , furniture bit tatty , extreme . everywhere reception clean tidy . check room 902 9th floor , corridor carpet clean , everywhere seem quiet . on enter room freeze , windows shut ! think god heating yike , doorman bring case , give couple doller , bless , put heat full blast . temperature control wall , turn wish , get hot night . here description room . we one window look onto office , look Empire state building . we huge double bed / or queen , plus two chest drawer table lamp . old Tv useless , many channel , typical USA rubbish useless advert , trouble ariel , do not work . we double wardrobe next bed slide across , also another closet ironing board hang space , plenty room storage shopping , go one case come back three ! ! ! ! window good size white roller blind , open , far high . also smoke detctor . nice white ceiling , light beige wallpaper , wine colour carpet dry clean . in bathroom tile , sink toilet work , excellent shower screen , bath , tile good standard . the bed clean mattress check clean pillow , maid service EVERY DAY , clean bed fresh flannel towel . actually bulb go little hallway , never mention , notice renew next day , good service . staff Amercian , attentive , give we direction require . always remember we , greet we door helpful . it get abit confuse west east get around , use Empire state building guide , fine . Macy 's brilliant shopping , pick 11 % discount card reception , dnky jean £ 20 ! central park half hour walk , worth go horse draw carriage , find ROCK ( rockerfellas centre ) well empire state , cheap go top get 360 % view perspex , recommend . see Mamia mia broadway must , liberty helicopter ride fantastic experience forget . the downside trip New yorker , find rude , please thank yous except old generation . food shop especially deli good . eat Tads near corner Macys ' Andrews ' , good food good price . we experience minus 7 degree day , freeze cold weather , sun , wind good snow . my experience thirty thirty hotel shop absolutely fabulous . may add normally 4 - 5 star person , snob , like comfort market hotel , please believe say truely wonderful stay hotel would return . clean tidy , frill , basic yes , need . need bring onw kettle want drink , although say deli across small road open 24 hour , often pick coffee route . straightner work room bring adapter , hair dryer . I also would like mention homeless people live , exactly homeless pay small amount , rude , dirty , chatty walk around slipper . speak , curtious . dog building , say , hotel shop ! norm . I hope great time , hope mention helpful advice help make decision . Michelle x 
 Feb 17 2008 	 Excellent Choice 	 wife spend 4 night Thirty Thirty New York end January 08 . read review day depart heart sink bad . even try change hotel , late . anyway , end nothing worry . hotel clean smell fresh . location area great ( literally minute Empire State Buiding 10 min Macys & amp ; 15 min Times Square / main shopping along 5th Avenue . ) hotel staff friendly helpful . stay room 443 ok size big enough us luggage . state other shower bed linen exceptionally good . view not great , not bother we . downside slight draft window like other toilet block 1st time use - maintenance man unblock within 5 minute ask . , hotel great would stay , question . hope review help put mind rest read favourable review . 
 Feb 15 2008 	 Fantastic 	 read review go heart sink arrival pleasantly surprised . staff helpful polite decor fresh airy . our room ( 941 ) clean , beautifully decorate well - equip - iron , iron board , hairdryer , coffeemaker masse storage space , well safe . the bathroom big enough powerful , importantly , hot shower . Towels linen change everyday temperature room easily control themostat system control . for pay ( £ 400 4 night inc BA flight ) thrill . location facility excellent , tea place , Subtle Tea , across street corner Madison 30th amazing deli along 30th street- Cafe Au Bon gout- great quick breakfast great service . Zana , hotel 's restaurant , not great have previously eat Cafe Carlyle standard set high . would go back ? definitely - a real find . 
 Feb 5 2008 	 could disaster ! 	 wife book hotel time check advisor trepidation arrive 4 night stay . upside location , helpful reception concierge possibly price . Iam tell hotel own group Albanians . the next door bar / restaurant [ Zana ] ok good value bar service hopeless . usual story : waitron live tip get tiresome chase change time . there good irish bar 100yards toward east [ Desmonds ] restaurant road [ crooked knife ] well really NYC standard . the room small dirty . Linen service 5 pm . sheet change prior arrival . true top floor residential retire lady get bit odd hang round bar early evening . imagine easy get whole place wrong one trip nightmare . american work show . 
 Feb 3 2008 	 not Believe Pictures 	 hotel decor depress , really . could not reconcile website photo reality . wall , ceiling , carpeting battleship gray , light throughout dim , adornment , sparse . catch wonder future prospect really bleak . room closet , even wardrobe . frankly , 's place put anything be stay night . staff nice , 's great pub lunch dinner directly across street . 
 Jan 28 2008 	 would never stay 	 stay hotel October 2007 . first visit New York belate honeymoon . absolutely love New York return soon hotel . the main reception area lovely bit misleading come prejudge rest hotel . reception staff friendly . arrive late long wait airport much greeting . hotel room awful . picture see internet obviously take wide angled lens barely enough room walk along bottom bed wall . kind think ok see asmuch New York possible spend time hotel room even . room view except brick wall next door building . therefore dark , dark . light blind draw day workman work outside . bathroom see well day tile filthy . towel leave we two day except hand towel share shower ! awful smell corridor room . damp mouldy smell . sheet hole blanket smell fresh . so sum would reccoment not put New York brilliant . everyone else come across friendly especially taxi driver . people meet proud live quite rightly . spotless feel safe . Hope helpful 
 Jan 26 2008 	 get offer Room 1029 say ! 's hot stink ! ! 	 stay Hotel Thirty Thirty six night January . upon arrival , give reservation number guy reception ( believe manager ) look computer appear bit flustered . send colleague room 1029 , confirm ' clean ' return lobby . when get room , first impression good . book standard room bed appear kingsize room bathroom reasonable size , although bathroom particular need good clean and/or redecoration . however , strong smell air freshener room hot ( reach 80f stay compare 20/30f cold outside ) . week ask three time heating reduce ( hotel information state room guest control air conditioning control room ) . third attempt give fan , noisy pretty ineffective . leave window open window face another tall building breeze come . room also inadequately light making feel even dingy . first full day return room late afternoon confront DISGUSTING SMELL – cheesey/ vomity , really ' describe . idea come fill whole room . open windows brew coffee smell gradually fade . then couple day later , late afternoon / early evening shower smell start fill bathroom . luckily nearly finish make heave could stay long . smell bad corner toilet , think come vent ceiling . room next we occupy woman , every time come left room , sit computer TV door prop open . bag clothe / towel outside door bed cover clothe . assume live , review mention . our theory smell possibly cook something time every day smell come room bathroom next door . smell apparent room point day either return hotel go dinner . one evening , later usual go eat totally lose appetite could think smell make feel ill . look back arrival , think staff member send check smell rather whether clean explain overuse air freshener . think probably give room error booking system . on plus side hotel well locate Empire State Building Macey ' close 28th 33rd Street subway station . porter Mohamed helpful friendly rest staff , although overly chatty , polite enough . bed make every day towel replace . also use hotel car service back airport $ 70 include toll cheap taxi get city . unfortunately Thirty Thirty Hotel slightly spoil trip New York . end week dread go back smell . ' another room could totally different experience go happen we would certainly recommend Thirty Thirty Hotel anyone . 
 Jan 25 2008 	 thrill problem great price ! 	 stay New Years . cheap price . fancy clean need . great young budget traveller . get nice place sleep shower . many service friendly efficient staff . 
 Jan 21 2008 	 average hotel 	 read negative review hotel , pleasantly surprised . double room , although big room ' ve stay , comfy bed , large tv , clean bathroom ( maid service morning clean towel / mini shower gel / soap ) . also filter coffee machine room ( would prefer cup tea hey , be go mark hotel ! ) .door staff really pleasant , case bring room . expect tip everything though ! real positive location hotel . great area NY within walk distance major attraction . Zena 's bar next door ok ; quite pricey breakfast , would recommend try find real american breakfast egg benedict / bagel etc ( plenty cafe choose around area ) . would definately stay hotel recommend ideal central location sightseeing break . 
 Jan 18 2008 	 Nicer NYC chain hotel ' ve stay . 	 stay hotel girl ' weekend . pleasantly surprise nice hotel low price pay . definitely glitzy / glamorous NYC hotel , clean , wonderful soft bedding , simple modern furniture safe room . proximity # 6 train wonderful . would definitely recommend hotel anyone need safe / clean / convenient place stay would rather use money NYC fun , small , overpriced room chain hotel . 
 Jan 13 2008 	 Pretty Modern Place 	 nice place , stay business trip . modern , good location . would recommend . clean . 
 Jan 10 2008 	 Comfy Hotel - Great Location 	 boyfriend & amp ; stay hotel 2 night Christmas . excellent location within walk distance heart shopping 5th Avenue & amp ; Times Square . empire State Building 2 minute away . staff friendly & amp ; especially door staff give we excellent tip shopping place eat . room perfect . stay 6th floor . room plenty big big comfy double bed lot pillow duvet . shower decent size . room clean . would stay hotel return new york shopping . 
 Jan 4 2008 	 Wish have check Website ! 	 stay hotel weekend New York marathon room hard come still expensive . pay $ 375 night plus taxis top cheap could find 4 star . regularly stay 4 5 star hotel way would rate 4 star . absolutely awful staff rude unhelpful . really wish have check website go . wouold never stay ! ! ! 
 Jan 4 2008 	 ask well Thirty Thirty get 	 planning stay Thirty thirty twelve day hope Petite Single room going provide basic comfort . upon check - in give room 315 . small room expect . expect size condition bathroom . contact reservation desk inform need large room decent bathroom . view two additional room give large room spank new bathroom . four day departure date move room 838 true gem room . stay Thirty Thirty give room 838 try . Thirty Thirty meet basic requirement hotel New York . thirty Thirty well locate Park Avenue South 5th , minute Union Square Grand Central Station . concierge reservation staff moody helpful ( push ) . hand support staff include cleaner maintenance incredibly helpful willing help . 
