security 	 glow review , sadly , would actively steer people away hotel . everything go along nicely 3 night stay -- think price right , location good room amenity nice . unfortunately , money vanish room safe would feel safe stay hotel .... recommend hotel friend colleague . fact : stay hotel 3 night mid November . stay , use hotel safe valuable extra cash would not carry street . night check , take valuable cash safe , leave $ 250 safe lock security code . check next day though experience traveler always check room thoroughly check , forget empty safe . leave hotel 10 a.m. realize mistake 4 pm immediately call hotel . supposedly , security person duty go room use hand hold device ride personal security code . wait hold check room . get back phone , say , & quot ; ' m sorry , safe empty & quot ; .Of course , word mine , see money safe know lock left room . one open safe meantime , would explain vanish act ? next talk head security hotel several time . first conversation , say personally go security person safe open . next conversation , press whether SAW safe open empty , retract early statement say , & quot ; , not go room , stay elevator . & quot ; therefore , person open safe witness . find revelation bit disturbing . change story ? next , ask speak hotel manager . wait 5 hour receive call back . apologize behalf hotel , could not explain discrepancy security staff 's story promise & quot ; get bottom situation get back & quot ; . say look forward full report wish could get money back , concerned hotel institute well security system follow . nearly two week since incident not hear anything manager ...... credit , offered offer complimentary stay future visit , issue fully investigate resolve , would not feel safe staying hotel . so .... stay Empire Hotel , remember well carry valuable . money lose , could upgrade well ( safe ) hotel . one point , stay , lobby close entire day tv show , Gossip Girl film . ' m sure hotel compensate use space , add nothing inconvenience stay go alternate entrance , etc . make feel like hotel try use space make much money possible without concern might affect guest . mention issue front desk staff , say lobby use film crew nearly every week , one situation , on - go inconvenience future guest . 
 Closet -- -- joke ! 	 absolute bad hotel ever stay ! small understatement . closet size space . broken window . iron . bathroom disgusting . huge disappointment . picture website suite .... not fool . 
 Jan 11 2009 	 Fantastic Staff ! 	 friend go stay Empire Hotel New Year holiday . find room comfortable , clean tidy . view room amazing , hotel five star ! staff really friendly helpful . keep we entertained give we great advice sightseeing eat ! nice come busy day tour New York , relax lobby bar good cosmopolitan bellinis ever taste ! food beverage manager particularly attentive , help we greatly direction , place go place go ! ! ! location hotel great - minute walk Central Park short subway ride Times Square - close enough hustle bustle , also far enough away get ' peace quite ' ! ! ! 
 Jan 9 2009 	 great location nice hotel 	 see mixed review frighten . location good desided book . location simply perfect . walk distance everything Central Park museum , theatre etc . Metro station 100 meter . stay superior room 5th floor . room spacious , clean well manage . bathroom spacious clean . staff bad typical good helpfull frienly . ask twice someone help we room fresh towel help we operate heating call answer someone show room within 5 minute . problem outside room nice view come price ... street noice . hard imagine resently renovate hotel . do well job window . hotel busy street double frame , double glaze ( poor insulation ) . appart good hotel . regret booking whatsoever . good time . 
 Jan 5 2009 	 Satisfied Empire 	 book Empire via Priceline spend two night hotel . please excellent location near proximity two subway stop . check - in fast room within minute 12:30 pm arrival hotel . base upon photo see TripAdvisor , anticipate interesting view , . window look dark air shaft brick wall five foot away . oh well . room small , nicely appoint . bed quite comfortable sleep well night . bathroom small , european shower fun bring back lot memory past trip across Atlantic . overall , room fine short visit would willing return Empire could assured room natural light . 
 Jan 2 2009 	 good experience Empire 	 book thru priceline use & quot ; name price & quot ; get standard queen room 2 people $ 200+taxes = $ 248 / night . stay 2 night , check 30DEC08 check 1jan09 , New Year 's . nice hotel helpful friendly staff great location . yeah , expensive , be really way NYC , especially major event . room bit small fair , nice modern GREAT shower possible amenity include nice robe flatscreen tv - even throw really cool little cookie welcome gift . location great - right next Lincoln Center , 1 block Columbus Circle Central Park 2 blox tube stop . bottom line : would stay without 2nd thought . ? email [ -- ] 
 Dec 29 2008 	 lovely hotel would stay 	 family get back today first trip New York . brother 's wedding Xmas Eve book Empire local travel agent . hotel refurbish decor modern lovely . staff helpful friendly happy answer question , make restaurant theatre ticket reservation etc . room small well decorate . downside room extremely hot way cool room . view room not big deal . also lack wardrobe space prepare . bathroom small everything need , lovely hot shower , lovely toiletry etc . mini bar expensive deli round corner sell bottle water 1 dollar buy . also starbuck next door hotel go breakfast day fantastic opening hour , 5.30am till midnight ! area hotel fantatic , lot shop restaurant within short walk walkable Times Square , 5th Avenue , Central Park etc . want take cab , always outside hotel 's expensive . would recommend hotel anyone would stay despite couple niggle heat room etc . ' m sure get sorted point . , lovely hotel great trip - can not wait visit NYC , love ! ! ! 
 Dec 29 2008 	 good location trendy lobby small room unless pay extra ! 	 book 5 night stay via Priceline.com - get £ 130 night seem ok compare rack rate . arrival ( other say ) lobby amazing - trendy decor . reception staff friendly ( although day staff find little less helpful ) , however first room incredibly small ( albeit nicely decorate ) & amp ; air conditioning noisy . view brick wall . I ask another room show one size problem . opt pay $ 50 / night ( + tax ) upgrade ' superior double ' - unfortunately still view much well room size ( bathroom actually bath oppose shower ! ) .The location good - Licoln Centre & amp ; Central Park closeby , along lot nice restaurant . 's short walk Columbus Circle ( well subway station lot shop nice organic food court ) good transport link nearby . overall would say good choice particularly great value money ( even NYC standard ! ) 
 Dec 28 2008 	 Nice Modern Decor corner cut 	 recently book room boyfriend Christmas . go knick game think would fun spend night city . arrive hotel notice lobby gorgeous . modern trendy looking . staff check nice proceeded room . first glance shock small room . 300 night feel could bit big . decor room gorgeous . however , view non existent . view brick wall close curtain . notice strange sound come bathroom . toilet water run able fix flush wiggle handle time . shower cool . enjoy bamboo floor mat shower head . lack door bit weird . worried get water floor whole shower . the hotel give complimentary water bottle mini water bottle fridge cost 6 pop . thirsty force go gym drink water . gym way well view 7th floor room . the room ventilation . shower whole room get foggy . morning wake sore throat stuffy nose well . lastly bathroom small . counter space make hair large mirror bed . all modern trendy hotel . comfy bed nice decor ' . pay look . 
 Dec 28 2008 	 X - mas NYC 	 everybody say , NYC hotel room quite small , okay purpose visit , end day need room rest , bed nice goose feather cover pillow , room nice warm little bit noisy . bathroom small , nice hot powerful shower well know brand amenity . hotel lend we bathrobe umbrella . turn service , leave we nice NY cookie next bed every night . also awsome technology room ... miss bar Roof ( look ! ) 
 Dec 24 2008 	 worth price 	 stay Empire Hotel one night one bad hotel ' ve . soon walk door greet blast superheate air . heater control inoperative , shut unit open window let 20 degree air . night either full blast heat cold air outside . morning go take shower , surprised find overhead shower head work . force use hand hold wand , continuously keep fall 's break mount bracket . get shower wand work , water available cold . , end take cold shower upscale $ 300 / night hotel , middle winter ... could not wait get hell ! ! RECOMMEND HOTEL anyone ! ! ! 
 Dec 21 2008 	 Loved Empire ! ! ! ! ! 	 end Empire book Priceline . manage get super bargain , HAPPY end hotel ! room small , view non - existent , staff , cleanliness , bar location Top - Notch ! ! ! ! front desk staff accommodate friendly , even let we check early . even doormen pleasant welcoming ! Andrea downstair bar wonderful friendly , go along cool decor great music play . head rooftop bar , worth ! ! ! friend live Manhattan meet we even comment great hotel ! would recommend hotel day look forward booking ! ! 
 Dec 18 2008 	 good value upper west side 	 great location across Lincoln Center near Columbus Circle . good access subway , taxi , bus town . room redone pseudo boutique style , comfortable bed bed . nice , unofficious service . staff good New York . 
 Dec 16 2008 	 Filthy Empire 	 well , leave 3 day early .The room dirty , hotel supposedly recently renovate not look like , carpet filthy lifting , wallpaper peel . we change room , bad , buy towel 1st room black hair , 2nd room stain . the bathroom filthy . the shower door remove designer not like apparently , get half shower . in 1st room view wall noisy generator window , heating click wildly random interval night . the wardrobe small hole wall curtain it . the mini bar daylight robbery $ 6 half sized bottle water . the reception staff less helpful look even less happy . 
 Dec 15 2008 	 probably come back 	 Stayed Empire Christmas , find one good hotel stay nyc.the downside room small size lack view , although counter quality room furnishing facility . we book alot cheap similar quality hotel close Times Square mid - town area , think location might cause problem . 2 minute subway , 5 minute Columbus Circle , $ 7 cab ride 42nd Street . area full shop , bank resaturant high standard also . staff helpful swift , particularly front desk . also , bar real quality feel , good place meet up . in , everything would expect Hilton / Sheraton etc mid town , two third cost - well worth . 
 Dec 15 2008 	 Wonderful Service 	 return 3 night Empire . book priceline despite hotel willing upgrade room reasonable price . hotel stay priceline unwilling upgrade . arrive redeye Thursday morning immediately room . front desk staff bellman welcome helpful . get room , realize junior suite not big enough bellman call downstairs . get big suite additional price move without hesitate . pour rain want bottle champagne room later day mother sister arrive Maine . ask doorman direction offer go get ! service friendliness make think back Austin rival Four Seasons quality service . room beautiful , view overlook Lincoln Center great . complaint hard regulate heat room -minor give great everything else . Breakfast serve Center Cut restaurant lovely bar worth stop see it- 's spectacular . lobby lovely like intimate nature small hotel hotel fit bill perfectly . location close Central Park Columbus Circle also terrific . great Stay ! ! 
 Dec 11 2008 	 great gem NYC 	 travel NYC quick business trip every month . try enjoy trip NYC amazing city . usually book priceline ' ve stay least 10 different 4 star hotel last two year . EMPIRE HOTEL fantastic . location : great upper west side still pretty close mid town . close subway central park . also block away columbus circle great restaurantsCHECK in / OUT : see prior review say front desk welcome . friendly staff ' ve encounter New York rude . little cold not care . check efficient fine . the LOBBY gorgeous . modern chic . lobby lobby bar would great place meet friend . the room : also gorgeous . new , Modern , comfy . yes little small , New York . ' ve stay much small . great shower rain shower head cool bamboo floor mat . l-'occitane yummy toiletry make small size bathroom . bead heavenly Frette robe nice touch . little mini bar room well flat screen tv . nice bonus : free wi - fi . last trip stay Hilton $ 19 day ! ! ! would stay heartbeat . clean , Quiet , good location , nice modern . chic . 
 Dec 8 2008 	 irish laidie 	 17 woman book empire Dec 1st check staff pleasant make we feel wecome hotel centerl number 10 bus outside bring MacysBedrooms small book superior double room 3 would 2 people keep away mini bar price robbery ask remove tell would cost we 50 doller ask chair remove make room check phone bill charge everyone . roof top bar lovely veiw female staff dress like lap dancer 13 doller vodka 8 glass beer . check bathroom toiletry fantastic price hotel would want send staff training course greet guest go back 
 Dec 2 2008 	 enjoy stay 	 stay 6 night hotel perfect really enjoy stay here . the room small , say shower , brush tooth & amp ; go toilet without move bathroom really small ! however , well kitte comfortable . bed good . room noisy glaze great tired night sleep anyway . least view , Royalton look wall . the bar area nice , like gallery area great people watch . location great Central Park & amp ; Lincoln Centre . 
 Nov 27 2008 	 nice trendy superb location 	 Stayed Empire group pepole . cool trendy design . nice location close Columbus Circle . way start day run walk Central Park ! fantastic ! recommend ! room nice good bed . noice traffic , expect ! ? will go back new group April 09 ! 
 Oct 28 2008 	 brilliant ! 	 ' ve return four night stay empire . yes , be pricey bit budget , be glad pushed boat . room nice , bed amazingly comfy . roof top bar amazing view . side , quite big one , price . drink , food , accomodation pretty pricey , good first timer new york like . near central park , good location explore . love ! 
 Oct 24 2008 	 awesome 	 brilliant hotel . I can not recommend hotel highly enough . my one tiny fault size standard room . quite small , find adequate need . the Empire perfect postion central park,5th Ave , easy metro access . and do not miss rooftop bar . great view night . next time visit New York , stay . 
 Oct 22 2008 	 Terrible Hotel especially price . stay ! ! ! 	 stay hotel business two co - worker . check - in , tell reserve room type available , downgrade room first floor face Broadway . needless say , bit noisy . the next morning , force take cold shower , even let shower go 15 minute . 400 room hotel , issue . I also forget bring razor , call housekeeping say would bring one . 30 minute later , leave check without ever someone bring up . the final straw , ultimately write review staff checkout . complete conversation front desk person : Front Desk : hello , help ? : would like check out . FD : ok , room number ? : Room 1xxfd : Thank . , visit ? : Boston . FD : oh , suck . I : , baseball game ? Red Sox come back win . FD : ( Laughs ) , ' m talk baseball game . ' m talk city . feel like Boston would nice place people not rude there . I : really ? bill please ? , ' m big Boston fan world ( live Boston couple year ) , find pretty offensive front desk person 's idea small talk berate city live basically imply rude . $ 500 + night , happen . 
 Oct 18 2008 	 newly update trendy hotel great location 	 stayed recently reopen Empire Hotel . room modern refreshing complimentary wifi fitness room must business traveler . many NYC property , room small . bathroom nicely design extra small . design bathroom main room make good use space . wall long desk shelf , wonderfully soft luxurious bed . enjoy stay would recommend anyone . great location near central park , subway , great restaurant include Magnolia Bakery . Yum : - ) roof top bar ice cake . one NYC , attract trendy hip crowd . 
 Oct 7 2008 	 great hotel 	 book guest television show put Empire Hotel . need comfortable , quiet place prepare change train ride , Empire everything need . upon check - in , staff ask need wireless service , give passcode work fine entire stay . room small , 8th floor , view Lincoln center construction . typical small NYC room , nice amenity . staff call time driver arrive hotel pick shuttle show , meeting , Penn Station , nice . bar roof awesome close way early - consider keep open til 2 3 . stay NYC month , usually stay starwood hotel ( W , Regis , etc ) will consider Empire next time location , amenity , staff rooftop bar . 
 Oct 6 2008 	 Mediocre good . 	 first would never consider hotel not decent rate get Travelzoo . incredibly small room bathroom standard suppose & quot ; boutique & quot ; style hotel NYC . somewhat noisy - room next elevator loud & quot ; ding & quot ; elevator bell set unnecessarily loud pitch . hotel staff indifferent , neither friendly rude . otherwise be good location one night stay 's fine . would never pay high $ 200s range stay , worth . 
 Sep 30 2008 	 overrate rude staff 	 amount money charge per night , would think would stay 5 star hotel . however , staff hotel horrendous . trouble get wireless internet work , ask front desk anything could . lady respond would send someone help . nobody ever show . later ask , front desk person ( different one ) tell we nothing could , free begin , look internet cafe . 2nd night hear people yell scream hallway , also outside hotel . nightclub top rough , get drunk people yell hour night . call complain , hang we . call asked speak manger , tell absolutely . window room painfully thin , hear everything streets- car , taxi , bus , people . really shame put effort training staff , location hotel nice . amount money cost , terrible staff , would never recommend hotel anybody . 
 Sep 29 2008 	 Good Location Nice Bedding Friendly Staff Stupid Bathroom 	 stay three night room two double bed face Broadway . RoomRoom clean good sized New York . view speak , even 9th floor . flat screen tv . nice bedding , comfy robe towel . bathroom yet another ridiculous concept bathroom . sink overflow unless take stopper . shower door go halfway across shower open even OCD among we end water floor . never figure wand portion shower . Bathroom lay poorly pretty much guarantee bruise elbow knee , fave , elbow / knee bruise combo . LocationSteps Lincoln Center . easily go upper west side midtown location . like walk , nice central spot city . easy get cab , . well outside bustle Times Square . much louder Upper West Side , make sleeping challenge . damn , street sweeper man . starbuck drugstore around corner . StaffEveryone - bellhop , front desk , room service , housekeeping - friendly . doubt see trendy lobby happily surprised find everyone kind helpful . roof barkind bust night - totally dead get kick 1 am . nice layout cool spot . valuenot much value find NYC fall . empire , $ 400 / nite Orbitz , well price consider not many option & quot ; budget & quot ; price range time visit . 
 Sep 24 2008 	 Filth Cockroaches urine soak carpet 	 hotel masquerade 5 - star hotel , sham . stay hotel unless want pay high price ( $ 600 per night ) filth , cockroach room , guest urinating hallway , terrible , rude customer service . stay suite . bathroom shower door shower curtain , claim & quot ; European & quot ; , plywood place floor shower . removable , housekeeper not lift clean , shower floor cover filth . huge cockroach crawl around bathroom suite , probably due filthy condition fact huge , unfinished hole leave behind toilet underneath sink . ask speak manager hotel , refuse , say nothing could . ask use computer seek room , young man come front desk remove computer , say , & quot ; Conversation & quot ; . claim manager , later learn one owner . yell , told & quot ; sue & quot ; -- every hotel New York cockroache rat & quot ; New York & quot ; , cockroache relationship cleanliness . yelled lobby cry rather help make upset . also ask catch cockroach prove room . later leave another manager wrap newspaper husband kill . wish could show picture filth cockroach , take word -- hotel clean , unprofessional . staff stand front desk laugh gossipped wait lobby husband could leave . even try get security guard remove lobby , guard refuse , not anything wrong , pay room -- not want stay room cockroach . & quot ; owner & quot ; say could call hotel $ 1.50 per minute . wait , young woman come front desk state complain three day guest urinate hallway door , stench unbearable . tell nothing could & quot ; lived & quot ; , could move another room . btw , stay Trump International Tower across street , beautiful clean , less expensive Empire ! corporate rate low $ 395 . 
 Sep 16 2008 	 good one - night stay 	 girlfriend book place one - night getaway good experience . Started valet nice convenient although $ 60 per night probably ' ve look garage around area . service desk nice quick . room usual size Manhattan hotel small yet furniture fit well optimize space . everything clean ready we . lot stuff available purchase room hotel ( snack , drink , & quot ; mile - high kit & quot ; , lotion , opera binocular , spa treatment , etc ) course way price . pack regular size Peanut & amp ; Ms $ 5 $ 8 beer ! main downside pool deceive website . look great decent size online cut side 's ridiculously small . check uploaded pic see ' m talk . location great area . not watch show Lincoln Center be across street plenty restaurant area . night room quiet disturbance . overall good stay like Manhattan hotel definitely book advance never pay regular price . 
 Sep 7 2008 	 Style substance 	 Empire stylish hotel , unfortunately we case style substance . have book room month advance yet arrive 5 pm tell room not available another hour . left case walk Central Park return 6.15pm . give room first floor front hotel tell luggage would send . 7 pm phone reception ask luggage , eventually arrive room 7.30pm . I try take shower stylish bathroom handle come away hand . husband later discover pipe stylish sink leak vanity unit - put waste bin underneath . next morning complain reception tell have move & quot ; comfortable room & quot ; . repacke thing go day fully expect given room equal well first one . imagine disappointment returned find have move much small room back hotel ( thought ) noisy air conditioning . switch aircon late night find noise come generator outside window - noise go night . could not face repacke move ( thankfully ) two night hotel . never manage get hot water either tap shower . empire great location could special hotel concentrated customer service less silly gesture apple bed . we stay hotel world , ' m afraid one bad . 
 Sep 7 2008 	 good stay empire 	 quick 4 night stay Empire Hotel Manhattan . book package along round trip flight expedia seem like pretty good deal . price , review , rating seem average not expect much . travel 3 other decide book one room four we think would plan spending little time hotel anyways . first impression hotel nice . extremely posh look worthy rating high saw come . room quite small though 4 obviously 's room intend . would roomed 2 easily . room nice , bathroom awesome . service good helpful . good location well , however thing would say go hotel close subway station Lincoln Station one line stop . go back would attempt book something vicinity close station train stop like Columbus Circle avoid transfer . intend walk take taxi everywhere however hotel perfect . 
 Sep 3 2008 	 Unfriendly Unhelpfull Staff 	 great location , 4 day . unfortunately hotel would excellent choice unhelpful unfriendly staff . they cold unwelcoming . front desk not want know book , feel like nuciense . New York wonderrful place everywhere else went meet helpful friendly people , great wnt back hotel . would stay . 
 Aug 29 2008 	 fantastic 	 fantastic hotelvery friendly staffwill come back 
 Aug 29 2008 	 Superb ! ! ! love 	 boyfriend return 6day stay . hotel superb staff friendly . initially allocate room 2nd floor ask could change room view not hesitate . smoke floor corridoor bit smelly room lovely , great shower comfortable bed , huge ! great location . two downfall drink expensive $ 30 two vodka 's lemonade pool area shut twice private function , US open party medium event , pay facility not think right . yeah aircon bit noisey be NY quiet really not bother we . would definitely stay , definitely appear come hotel . not worry stay 
 Aug 26 2008 	 perfect 	 stay Empire 19 - 23 August , 2008 love everything property . offer fantastic location , huge room ( unusual ny ) , polite helpful staff , cool bar , great rooftop terrace , modern decor 's extremely clean . hotel , be five minute walk Central Park ten minute walk Tiffany , Apple etc . yet be far enough away not feel like be battle crowd ; 's little street connect two busy road . breakfast rooftop terrace one morning not fancy pay hotel price , 's Starbucks right next door . yellow cab outside day ( night ) long location good , walk everywhere . make use laundry , press , bar room service facility impeccable . I read less complimentary review hotel site ok , AC noisy - not like noise , not go New York . yes , breakfast drink not cheap , , be budget , not go New York . personally , would not hesitate recommend hotel anyone . 
 Aug 25 2008 	 love location ! 	 great stay empire hotel , confortable even room little small . great location near Lincoln Center near metro station ! problem : able hot shower 4 day ( .. tecnical problem ! ! ! ) .. 
 Aug 23 2008 	 great location air condition noisy 	 hotel good place tourist seek good location , little luxury even night life , opinion . 's Central Park 2 subway station away Times Square . general , good service premise . however , air condintioning machine room incredibly noisy . would well keep window open switch air conditioning night . 
 Aug 21 2008 	 great find ! 	 husband stay Empire first leg honeymoon start month . great stay : love modern decor find hotel clean friendly . we receive upgrade room excellent result ! room fabulous bed ... huge comfy . room plenty big enough two we , though NYC spend great deal time . bathroom big beautifully design clean . roof top bar pool real treat especially middle hot summer . great come back long day pound pavement cool dip ( though pool small ) follow cheeky cocktail ! bar staff friendly helpful . door staff helpful too . my slight criticism would reception staff , helpful polite ask terribly friendly . great location near Lincon Centre central park . recommend enough Whole Foods supermarket Warner centre top central park- great place pick delicious well price food delightful picnic park ! mexican restaurant round corner ( though name escape ) must ! amazing margaritas food ! would certainly stay ! 
 Aug 18 2008 	 great location trendy hotel 	 Excellent location right near Lincoln Centre short walk Central Park Broadway . seem like tiny room ( nothing nice view ) price guess 's common New York ! hotel interior stylish look like nice party location . not get check rooftop pool area look nice photo . overall good spot . 
 Aug 10 2008 	 nice small smelly 	 's really nice hotel . Clean nicely decorate . every day take fresh apple desk downstairs : ! room rather small , big enough we . bathroom great rain shower ( door ! press wrong button , everything get wet .. hiiii ) , small little storage place . housekeeping drop twice day , make sure everything fine . free wireless internet . we 8th floor ( room 839 ) whole floor smell like cigarette . terrible smell room . clothe everything luggage smell like cigarette get home .. ieuw ! not expect much pool , be really tiny . view top hotel really nice . the bellboy friendly helpfull . location great . be right across ' Lincoln Center ' across big bookshop ' Barnes Noble ' , subway across street ( 3 stop Times Square ) .you eat cheap well & quot ; Flame diner & quot ; & quot ; European & quot ; right across , eat nice salad pasta . if want great mexican food , go around corner & quot ; Rosa Mexicano & quot ; enjoy guacemole ! 
 Aug 8 2008 	 empire - great hotel ! ! ! 	 Stayed Empire Hotel part honeymoon . hotel location , decor , size room , cleanliness , rooftop bar first class . , arrive reception check family front we complain upgrade junior suite . book junior suite tell none available room superior quality available . hotel offer we king room free breakfast . possibly first honeymooner history downgrade ! ! fair hotel move case suite follow day whilst discover NYC . suite large NYC overlook Broadway price excellent . book hotel trepidation read poor report TA , opinion reception let hotel would not stop stay . 
 Aug 6 2008 	 Loved ! ! fabulous hotel ! 	 friend stay hotel 26th Jul-1st Aug. arrive little early advise room not quite ready , go walk look bag . come back , ask credit card check . shock we , have not advise would need travel agent - beware ! .we book trip friend 30th birthday want something different norm , mention receptionist ask come , give we room card tell we upgrade we deluxe room ! ! ( have book standard room ) get holiday fabulous start . race room , bellboy bring bag ( guy could not helpful entire stay ) room amazing , expect small , be not small consider 2 double bed . wicked flat screen tv , ipod clock radio . take we work strange shower , let run 5 min hot , cool , plenty room clothe ( do not bring much shop ) bizarre - kettle room ? thing light bright all.we disappointed find be not get breakfast - however discover deli round corner fresh fruit yoghurt every day , would leave hotel morning , go deli pick fruit salad eat train go midtownon 1st evening , go walk around , feel like real neighbourhood , like holiday area city centre . come back , surprised see queue hotel lobby almost street . ask one bellboy people queue tell we wait get rooftop bar . apparently bar place . go look , lovely , expensive.we do not use gym , go pool time , tiny , however lounger fab , nice space chill . go evening simple , bellboy would get cab , really be not far ( expensive ) get anywhere . pay $ 10 get meat packing district - west 20th street.overall , thoroughly enjoy hotel ( 1st time stay hotel New York - use stay grandmother til move Florida ) would definitely stay 
 Aug 6 2008 	 Emipre - problem 	 sound thing think upgrade superior room front hotel . room great quality material throughout .. room decent size pass ' can fully open suitcase floor ' test & quot ; .Overall , hotel experience positive . downsideis bathroom view slightly small cruise ship . the location excellent nice grab picnic stuff times centre ( columbus circle - elevator ) lunch central park .. highly recommend flame diner breakfast west 58th Street ( leave hotel 6 - 7 minute walk - not forget cross columbus ave ) 
 Aug 1 2008 	 Cool Hotel 	 celebrate Bachelorette party hotel . stay 2 night double queen suit . view ' impressive , ' care . also stay high floor , 11th . prefer hear elevator bell every morning – floor . breakfast buffet 11th floor , everybody go pretty early . ' check time want , arrive bit early – 12:30 p.m. , go walk ( Columbus Circle 2 block away , Central Park 2 block away ) get room 3 p.m. package include champagne upon arrival . forgot in - room dining want deliver restaurant charge . eventually receive extra charge … . neither we could figure shower work , also ' normal shower door , water run floor . fix sink , water ' run through … hotel ' key constantly get uncharged ' know go . make sure take least 6 key check - in . time check – 15 . hotel ' bed comfortable . also give plenty towel . staff friendly helpful . could tell ' deal kind issue every day , try good . gym small , cute . hotel also starbuck first floor convenient . spend time outside . pool roof ( Jacuzzi size , pool ) . ask look much small web site – answer : " right picture angle … " . also ' alcohol license tanning deck . guess people bring hiding cabana … Nightlife … . location perfect . close everything even ' know nice rooftop lounge bar . also ' know ' popular could crowd . recommend go . general : stylish , cool place perfect location , nice staff . design cool ( look cool ) , useful normal life . would stay . 
 Jul 21 2008 	 cool 	 great stay . hotel completely redone modern , hip trendy . importantly however comfortable , clean ideal location . read review staff fairly accurate – good . however , hotel whole worthwhile . tourist : ' town tourist , ' three block Central Park across street Lincoln Center . short walk north great shopping begin 57th & amp ; Broadway Madison . get see famous pool top , bar stair great make stiff drink … . staff ' bad . business : ' work – plead desk assistance check - in . find access , although supposedly provide , non - existent . since weekend elect use excuse work . go play – ' great location . 
 Jul 19 2008 	 GREAT 	 wonderful back big apple ! several time favorite hotel . get great deal expedia get upgrade suite upon arrival . recently renovate , plasma screen tv , plush furniture , waterfall shower , beautiful spacious room . staff helpful , bell boy direct we Flame diner block tremendously good breakfast ( ask flame amazing multigrain waffle , homemade bran muffin , load fresh berry , reasonable price , three we eat 18 dollar ! ! ) . empire host rooftop restaurant , even high outdoor bar , rooftop lap pool . perfect roof relax , watch river , look Lincoln center right across street . two block central park , perfect location . give place chance , sorry ! ! ! ! ! 
 Jul 18 2008 	 amazing time life date ! ! ! ! ! ! ! ! ! ! ! ! ! 	 stay Empire Hotel june 2008 . arrive miday moment partner walk lobby amazed standard hotel . clean first inspection dumbfound quality decor modern feel place . brit use slum spanish tower block ! ! moment get room pleasantly suprise beautiful room quality put throughout hotel . even though hotel may expensive stay bar lobby may break bank careful definantly worth every single penny . location good us short walk central park 10 15 walk time square . travel end june shocked humidity warm weather hit 30 degree sweat dripping head . the staff hotel overall friendly apart one ignorant receptionist ! ! ! beware enter hotel need credit card check ask $ 600 deposit . the bathroom nicely design even though take 5 min water heat . lot space lady spruce themself . roof top terrae world amase view island towards harlem . even though roof top huge pool not big lucky us kid never there . overall would love go back stay couple time year partner enjoy much access whole island hotel . also go New York Independance Day sale island pick amazing deal Macy 's Fireworks completly world iv ' e see firework Londonon New Years Eve amazing please stay ... wont REGRET ! ! ! ! ! ! ! ! ! 
 Jul 18 2008 	 great family teenager 	 family book two room 4 night Empire largely location , standard accommodation access roof - top pool ( expect NYC hot sticky July ) . disappointed . room excellent , really enjoy stay . hotel really close subway / underground Central ParkThere negative : pool small easy access ; bar price high ; coffee - make facility room . we experience problem air conditioning noise . also , staff helpful attentive . grumble ( wee bit ) cost buffet breakfast recommend Flame diner ( 3 minute walk ) great set we busy sight - see day . 
 Jul 11 2008 	 great find great location 	 return home three night New York City stay Empire Hotel first time . certainly last . ' m always looking well appoint well locate hotel somewhat affordable large . locate directly across step plaza Lincoln Center hotel perfect performing art lover . three block several subway 1 block Central Park . hotel renovate year ago room , though large well appoint asian theme bathroom little amenity make real difference : safe room , good bath product , nice towel , etc . superior room King still small bath , standard room quite small , Junior Suite great two people . probably good feature roof garden . twelve floor Manhattan oasis lovely breakfast , fun cocktail evening , relax away hustle bustle city . even small individual & quot ; cabanas & quot ; really partition lounge chair complete bar service flat screen tv . enjoy ! 
 Jul 7 2008 	 wonderful location staff ! 	 stay Empire end June July 5 . location staff wonderful ! deluxe queen room two adult two teen room . little crowded bed comfortable . locate one inside room 9th floor . view , noise speak . air conditioning perfect well . we go pool every night kid really like . call ' splash pool ' quarter width regular pool 2/3 length . good swimming lap perfectly adequate kid . the complaint minor -- funky shower seem work hand hold . spray across tub towel shelf 's overhead position . empire first hotel ' ve ever stayed not offer coffee service . would absolutely go ! 
 Jun 30 2008 	 Nice Location 	 stay attend tradeshow another venue . never stay area city , like neighborhood , rather midtown . room small , however decorate nicely . could not figure shower right away , somewhat confusing turn & quot ; waterfall & quot ; . wireless internet work lobby , go use computer work . restaurant , walk street pizza one night . 
 Jun 28 2008 	 miserable experience 	 regular visitor New York City , stay 200 night past ten year . price rise , ' ve try find bargain , even though travel expense account . excellent reviews Empire TripAdvisor fairly reasonable rate ( $ 350 night ) lead stay even though would even hear hotel before . the big problem hotel right next Lincoln Center currently undergo major renovation project . desirable room , overlook Center , susceptible noise , stay horrendously loud . ask move another room , inform hotel fully book & quot ; besides , guest side hotel dealing problem . & quot ; ask Ben , desk clerk , construction start morning state , & quot ; around 9:30 . & quot ; fact begin 7:30 wake sound sleep every morning . website say nothing construction problem staff try hide truth guest . noise ear - pierce could work room daytime hour . nap would inconceivable ! problem include air conditioning system barely able keep heat day -- high temperature low 80 's . can not imagine room would like 90 degree day . also , room service terribly slow . last morning breakfast hour late , hotel make attempt apologize comp breakfast . hotel currently restaurant , though plan open one later year . the hotel attractively furnish location great , especially opera , ballet , classical music buff . room , like NYC , small bed comfortable . flat screen tv nice put much heat overwhelm minimal air conditioning . thing might improve construction project finish , will not return ever . one bright spot -- one good bellman ' ve ever encounter ! unfortunately not get name . 
