warning 	 reception staff polite , demoralised constant barrage unhappy customer complaint demand money back . the dining room seem know training , like start morning chaos . the location good local bus route underground , quite square . the reception area clean need date , however reception area confront heavily stain carpet poorly maintain state hotel . the room date poor state , broken furniture , door lock break well number thing , linen clean however general state room can not say feel home comfortable room . the bad dangerous fault opening draw bed dangle draw live electric , uninsulated real threat life . Cant say ever complain anything really ruin break stay , cheap hotel strike owner hotel take guest ride continue time get away , clearly do not care . they staff hotel people probably never day training obviously do not care either , think that s probably feel sorry ! ! ! ! 
 wait basil faulty appear 	 read review think can not bad ? stay hotel slate . boy wrong . book weekend away friend see show , book 3 double room , check , go room find twin room , go back recieption ask double , long time come back say hotel fully book could not move room ( manager speak finish 2.pm ) , hey let spoil weekend . back room go.then list started.musty smelly room towel , one room , open bed side cabinet live electrical wire tape together , breakfast joke dirty table ask waitress 4 time clear away dirty plate , even one else , full english breakfast six we order time come 1 time , wait 40 min last breakfast appear.when get egg bacon stone cold , knife fork , join que receiption complain.i ' ve stay much well hostel around world place.deffo stay here.had room 219 , 205 & amp ; 124.have take picture live wire forward H.S.E 
 Jun 19 2006 	 absolutely poo 	 unhappy hotel , Kel . however , Igor , fictitious man live room 101 provide much entertainment Robbie K. hotel staff care 15 year old male run around corridor hour , display arm pit hair wear nothing boxer . cripe ! pool vomit leave undisturbed outside lift , 2 member trip organisation staff verbally abuse russian lady build like tank . language skill staff commend ( shame English speak ) . one night , approach desk card room 118 get key . put upside desk , tell one scandinavian staff & quot ; room 811 . & quot ; however , go stay , look forward luxurious breakfast bread roll . oh not bring child , staff possibly anti - social people ever meet . 
 Jun 13 2006 	 Laugh ! 	 hotel pathetic ! laugh ! ! first room tiny originally make 3 people place camp bed fit people ! ridiculous . T.V not work , kettle take age boil , hairdryer nearly blow ' tea make facility ' something laugh ! bed extremely uncomfortable people result sleep floor , clean comfy . shower toilet work unhygienic ! staff order . first night would give we key tell key card breakfast . mean group 60 school child 11:30 night sit wait go bed . try explain staff make mistake , break English firstly shout , one teacher , another pupil finally ! staff extremely rude sack . second night 12:30 2 drunken man shout vomit everywhere , deal . one group need camp bed go reception explain situation ask help . resulted shout tell could bed , pillow quilt ! ' Breakfast ' joke ! large choice brown mouldy roll white mouldy roll ! second day breakfast due poor quality . hotel disastrous practically ruin holiday . thank much staff go trip Bury Church High School , without trip would go downhill start finish ! xx 
 Jun 6 2006 	 mouldy roll ! 	 prepare ' extensive ' choice brown white mouldy roll breakfast , lumpy bed , rock hard pillow . location good though . 
 Jun 2 2006 	 stay away want sleep ! 	 arrive school party 60 room average sizeThe huge problem nobody fluent english make thing extremely difficult also staff rude incompetent . breakfast joke do not bother second morning eat bread jam home . sure prison breakfast high calibre . bed uncomfortable do not sleep feel every spring back night number one want leave . night number two pool vomit lift stank floor ! never would return , be not suitable school party way corridor police amount fire door lift stair ! horrid ! sure price high notch accomodation find 
 Jun 1 2006 	 bad hotel london ! ! ! ! ! ! 	 review pupil burychurch england high school think hotel disgrace crap food stale roll breakfast u like orange juice will not like ever againthe bedsare apsoluly appal 
 Apr 27 2006 	 Disgrace 	 let us start positive note - difficult get . short distance bayswater underground station . locate neighborhood ethnically diverse restaurant every nationality match . warning : Beds hotel bed reasonable standard . one early reviewer call cot actually truth . flimsy , dirty , lumpy , torn & quot ; mattress & quot ; wire frame . fit sleep . travel party four person bed , regardless room location . prepaid $ 900 u.s.for 3 night stick . include & quot ; breakfast & quot ; consist stale roll terrible coffee bad & quot ; orange juice . & quot ; staff provide fare level service would get fire job prison inmate cafeteria . the bathroom small difficult average person sit toilet . beware basement room . yes , basement room - not really disclose get beasement room . like surprise . dungeon Tower London must well . that room small , overlook standard Europe . , room dirty . fact , everything place dingy . horrible place stay city classy London really put negative mood stay . 
 Apr 15 2006 	 pleasantly surprised 	 travel agent book Bayswater inn we want 3 star accomodation near city . it not pay thatwe find website read review . we therefore fill great trepidation upon arrive . what pleasant surprise ! start list & quot ; con & quot ; l , believe , & quot ; pro 's & quot ; far outnumber ! firstly , staff seem friendly , distinct communication barrier . would suggest , inniative figure thing , not even bother talk . believe come across one lady reception desk speak passable English seem tremendous pressure . secondly , plane get Sydney 5:50am , arrive hotel around 8 am - betold check - in not 3 pm . would flight 23 hour not sightseeing . negotiation regard early check - in , alternative leave luggage hotel find thing do . thirdly , bad thing room bed . definately double bed . like king SINGLE . matress need replace least year ago . that be bad . good ! hotel location phenominal ! 5 mnute walk bayswater tube station , Circle line ( major line ) .If walk 10 minute opposite direction , will get Nottinghill Gate Tube Station . one 's Circle , Distric & amp ; central line . could not ask well location . yes ... room small , consider really use sleep , not bother we . bathroom look brand new , towel sheet change daily . room also come hairdryer coffee tea facility . the good thing room WARM . would walk around t - shirt short time . towel rack heated , perfect hanging go underwear wash they . you hand key reception leave hotel . may like , find convenient , fear lose key . the breakfast bread roll , tea , coffee , orange juice hot chocolate . fancy , else would expect free ? hotel convert old victorian residence , epitomise charm character London would definately stay Bayswater Inn . 
 Apr 9 2006 	 get pay 	 read review site little nervous stay Bayswater , pleasantly surprised . the room small , price else expect ? slightly inconvenience provide credit card detail deposit everything extra require breakfast leave alot desire ( eat complimentary breakfast ) . attitude staff range courteous friendly . we expect stay hotel room not , time see hotel daylight day leave . hotel 7 - 8 untill 8 - 11 pm night . great location , even walk Marble Arch . underground close enough need walk far . there could improvements quality food provide , criticism . 
 Mar 26 2006 	 much well review ! 	 come site trip absolutely dread hotel give review . however , bayswater inn good hotel ' ve stay London . room clean spacious bathroom huge ( compare european hotel ' ve stay ) .The location great -- 's short walk Baywater tube station everything could need near . breakfast basically bun , juice , coffee , delicious . my caution -- watch front desk staff . bit rude say least . despite , however , would definitely say bayswater top list next UK visit . 
 Mar 18 2006 	 Shabby 	 ' m back 10 day european ( Germany , Holland , Belgium , France & amp ; England ) tour one hotel stay . good : • awesome location . will close bunch cute shop , restaurant , grocery store 's 24 hour laundromat need . also , bayswater Tube station short walk away . • heat , work alarm - clock - radio tv• People relatively friendly• internet : 1 pound/14 minute ( least ) • safety : buzz random stranger come try rob innThe Bad : • free breakfast two thumb . give bread , coffee OJ . hide free cereal somewhere back , buy well breakfast wish ( egg , ham , etc ) ugly : • Shower take like 15 minute drain , bathroom window smell kind weird• mattresse good . feel spring stab back . room four sleep thin springy mattress piece cardboard suppose cot . thank goodness exhausted every night . overall , place job probably cheap tour company use . would stay , definitely somewhere area . 
 Mar 16 2006 	 Fun Bayswater 	 camr back seven day tour England privlige stay bayswater Inn . located posh district London . ability run Starbucks every - morning luxuri Bayswater tube station 5 min walk away . bayswater Inn rather quaint district London semi middle -eastern disctric . many shope restaurant choose one never bore evening . short hop skip jump one able see Kensington Gardens palace . week luck see Prince Charles Camilla get Royal Helicopter morning whilst alke park ajacent back area Kensington palace . room rather nice one pay Bayswater Inn . staff rather graciouse kurt depend deal differnent point day . one chance try speak midnight desk clerk . fellow Thailand happy help probplem . knowledgeable area . one lucky enough get onto subject many star socialitte populoate area . one able see lucky privlige stay one charming district London . breakfst nothing exciting . mostly consist bun asortment butter jam orangejuice . one willing go extra mile pay 9 gbp , one able full english breakfast . wait staff restaurant polite enough enlgish barieir . try dela charming young girl name Inga Lithuania . rather polite willing help mean make stay bayswater well . , guess one say & quot ; get pay for . & quot ; one expecting say maybe would wise go Savoy Rotz , one interested true life atmosphere real people live breath London everday . bayswater inn place . 
 Feb 23 2006 	 problem 	 stay hotel 19 22 February problem whatsoever . double room ( 4th floor ) small enough quick stay . everything clean , towel replace everyday nothing break . on room , hairdryer electrical water boiler make coffee tea . television small , work without problem . the bathroom bite small , everything clean , perfect condition plenty hot water . the staff lovely breakfast simple good enough price . the Tube station ( bayswater - Circle District Lines ) two street away , make location hotel perfect . quiet neighborhood load restaurant ( Queensway ) shop . fairly decent price 
 Jan 29 2006 	 sometimes get less pay ! 	 hotel represent agency & quot ; Gate1 Travel & quot ; three star . locate decent ethnic neighborhood ( Greek & amp ; Algerian ? ) 5 - 7 minute walk time bayswater tube station . location also convenient Paddington Station ( 15 - 20 minute walk ) Hyde Park / Kensington Gardens ( 5 - 10 minute walk ) arrive morning find lobby staff pleasant enough good security , beyond trouble start . starter luggage room filthy , wood chip floor crack broken rack . obvious clean long time ever . day town return give two room basement . first small single . entire room six foot wide ten foot long temperature 90 degree F. knob radiator break could adjust . room suppose double fairly large two single bed double bed , however condition room atrocious . stench old smoke permeate room graffiti wall . double bed push one wall cover scuff dirt someone walk . carpet numerous stain appear heavily worn . bed linen old worn look hole bedspread kind stain one sheet appear chunk something stuck . bath crack break tile floor . return immediately front desk considerable debate night manager escort room point aforementioned flaw . persistent badgering finally agree move we . room well , much . give we double second floor another different single basement . single big first one much well temperature . real flaw size shower head could adjust order get wet , one get close shower control position slight bump would send water temperature plummet soar point scalding . also guest next room drunk loud come 4:30am . noise continue 7 left room day . advise desk clerk seem indifferent problem . double room second floor much well small one basement fact everything look old worn problem . two elevator build one break three night stay make walk room twice far need . continental breakfast , exact menu : Wheat Roll , White Roll , Poppy Seed Roll , Butter , Apricot preserve , Strawberry Preserve , Coffee Orange Juice ( ) . want anything else 's extra . describe hotel well . tell hotel anything good one star poor two star lie . 
 Jan 4 2006 	 get pay 	 stay Dec 27 till Jan 3 . room size room Cruise . ample closet space,2 bed , small desk 2 chair , nice size bathroom plenty hot water great water pressure . 2nd floor noise . room CLEAN bed make every day 2 towell replace . breakfast basic free . staff polite . long walk TUBE . plenty resturant nearby . RITZ well worth price 
 Jan 2 2006 	 never ! 	 get small , noisy basement room hardly ventilation . never stay hotel . stay away ! 
 Dec 30 2005 	 sd handicap friendly -- ha ha ha 	 joke ! ! ! ! never stay .... could hardly even get door . I use wheelchair schedule trip call speak hotel staff assure stair elevator door large enough wheelchair . obviously wrong extremely rude talk problem ! ! ! ! ! ! ! ! ! ! 
 Sep 16 2005 	 never 	 stay Bayswater Inn wife return . room small . however room quiet area location hotel quite good . not expect courteous frontdesk . quiet neighbourhood , close bayswater tube station . nearby Hereford find Restaurant Veronica 's , be good , nice friendly . 
 Jul 21 2005 	 never ! ! ! parasite ! ! ! breakfast dirty ! 	 manager hotel ashamed ! call 3 star hotel ? ? ? let laugh ! ! ! never see sad hotel like whole life . you people parasite ! customer speak reaction . very unsympathetic reception Pakistan guy . we sleep old room basement . plenty thing break , old paint , hole everywhere , outside view window . continental breakfast ? ? ? never see whole life : sandwich butter marmalade 's ! nothing salty , cheese , bacon , cereal , nothing ! ! ! never ! people call one - time - shot hotel . go one never ! take look picture will know mean ! Jean - Marc Van RavelsAntwerp Belgium 
 Jul 1 2005 	 wow .. must lucky ... 	 triple room ( , husband daughter ) complaint except broken bedside lamp , pay £ 177 three night pleasantly surprise comfort , service etc . Breakfast not fantastic bad either . 
 Jun 26 2005 	 Dirty Bayswater Inn 	 family book three room hotel . bad ever encounter . bathroom dirty broken tile dirt come tile , room dusty filthy . moment walk hotel wonder HELL . 
 Jun 21 2005 	 Steer Clear ! ! ! ! ! ! 	 stay Bayswater inn single guest May 29 - 30 , 2005 definitely ever return . book single room could barely turn around . even enough space lie suitecase - close suitecase order get bed . bad part however noise . room basement locate next housekeeping closet . 06:30 , awaken bag bed linen throw window happend next door supply housekeeping closet . report front desk , ask another room , refuse . even courteous apology explanation provide . I also honor listening activity couple next door well night . wall thin . breakfast strictly bread coffee . want egg , pay £ 7.00 ( almost $ 14.00 US ) .My advise book on - line , verify location room within hotel . time , get good deal line , get good room unless ask , otherwise end basement . american live UK grow accustomed small space european lifestyle , however , hotel take lack space , excessive noise , customer service level new low . well hotel street much well around price ! 
 Jun 17 2005 	 Bad Hotel 	 hotel location bad , difficult find not print map internet . go early check immediately . store luggage room .The room lock everybody also enter room get back luggage . risk lose luuage everyone also go room get luggage ( even get person 's luggage ) Horrabile . stay second floor think well stay basement . room bad . room service change towel toilet even stay 4 night ( HORRIBLE ) . also find also change bed sheet also . night , easy hear sound near room . hear childen opposite room run run run room 6 am . luckily still sleep . hope luckily stay basement . stay terrible hotel . 
 Jun 14 2005 	 never 	 stay horrible , ' ve stayed call & quot ; bad & quot ; place . agree comment last poster . book 4 5 night , try put basement near elevator sleep one night , size closet place put suitecase , enough floor space even put floor ! feel tuck , little worrisome ... not expect much breakfast , bun coffee , ' m morning person leave go get real coffee anyway . change room not well , ground floor , SOO cold room , door bathroom either , probably not big enough . finally apologize nuisance offer pay large room , could one night without sleep . put 3rd floor double room face front much comfortable , ' ve learn lesson ! ! 
 may 17 2005 	 horrible hotel 	 probably bad hotel ever stay . room tiny , dirty , basement one window onto airshaft . bed describe US cot mattress lumpy . carpet stain , curtain dirty . breakfast roll instant coffee water orange juice . eat . plus side , desk staff friendly helpful location good . room noisy , think may guest dank basement . next time would definitely spring extra money decent room . 
 Apr 28 2005 	 good value money 	 stay two night April receive excellent reasonable rate website . view early comment hotel , want record observation . although book single room , give triple room 2nd floor overlook Princes Square . check reception make sure not make mistake assure correct room extra charge . maybe lucky . find reception staff pleasant , polite speedy . the room clean , spacious - compare expect - prove quiet . sound neighbouring room , window open night , hear occasional vehicle drive , problem . bathroom newly refurbish powerful shower bath . three towel ( three bed ) drape heated towel rail . room adequately equip need storage space may prove premium three person . I not take continental breakfast include rate , simply not time morning . the location excellent . couple hundred metre Queensway , cosmopolitan atmosphere , ethnic restaurant , range vietnamese moroccan - name . plus Whiteleys shopping centre restaurant , Marks Spencer food store cinema . lead fast food chain also locate Queensway plus couple Tescos quick provision . hotel serve two Underground station - Queensway ( Central Line ) bayswater ( Circle Line ) . also bus take Marble Arch , Oxford Street , Victoria , Westminster Notting Hill . lovely Kensington Gardens across Bayswater Road . even choice church vicinity , include russian Orthodox . altogether suitable hotel extremely reasonable rate , give 's location . the reception check efficient courteous . would hesitate stay budget priority . 
 Apr 15 2005 	 disappointing overpriced hotel 	 book single twin room condition room basement . otherwise would booking . arrive learn one night single room basement ( near elevator ! ) would double room , although send extra e - mail ask twin room . son prefer double bed . although female administrator unlikable handling case , get triple room . hand receptionist polite kind . bed need new mattress . breakfast sufficient good quality . distance London - city 15 min . walk take underground ( 600 m. ) .The price / quality ratio insufficient . 
 Feb 2 2005 	 cold water cold winter 	 stay Bayswater Inn 6 night read review book room . , arrive hotel wonder : & quot ; would true , everything tell review ? & quot ; answer unfortunately & quot ; yes ! & quot ; .The arrival hotel ok , lady reception kind .. english . the room small , 4th Floor , , far street noise , .... close noise elevator . could also follow conversation people room next we . hey , color tv work well , BBC ITV ( be ) difficult concentrate something else . the first morning want shower ... surprise : hot water . reception explain us problem boiler 50 % hotel without hot water . ok , happen . but second morning : hot water . ... last morning . luckily , afternoon would warm water . however , fill complaint blank invoice give rude lady claiming & quot ; Manager today & quot ; . last least , 5th day discover towel never change ... go reception get pair fresh one . conclusion : believe reviews hotel ready become Fawlty tower nº 2 ! ! 
 Jan 24 2005 	 complaint 	 read report hotel , almost cancel booking , ' m pleased not . ok , Ritz price not either . room adequate , size cleanliness maybe lucky mattress looked feel new . without doubt would happy stay hotel . 
 Jan 12 2005 	 get pay 	 already book pay room , read review really worried . as approach hotel really apprehensive . tell come back 3 pm room ready , leave bag chicken coup describe early review . return 3 pm give key basement room ( oh god early review go mind ) . open door clean nearly heart attack come . back reception wait another half hour ; thing look good ! . finally get room relieve find clean tidy . bug run around mould wallThe problem bed badly need new mattress , impossible sleep , sleep top sheet etc , warm room problem . woke morning , tepid shower discover cover bite description ! ! . go breakfast really curiosity , see previous review right , regrettably be . however hotel well locate , busy friendly neighbourhood . all ` say look cheap clean accommadation one night well place location , give go . remember though can not really expect 5 star service pay one star price . 
 Dec 18 2004 	 sorry deaf person 	 long day trip , finally reach Bayswater Inn . although book week , tell overbooke . tell go another hotel , sit wait taxi . there excuse : & quot ; be one ! & quot ; taxi come soon , take almost 1 hour 45 min . get hotel . two day later come back , cost 3 hour . the room noisy . hear every word neighbour say every step make . mention be going stay two class spanish student hotel . the breakfast pure impudence , rubber - bread burn coffee , little butter jam , be all . I could hardly sleep one night . four night bayswater Inn need day two recover . not recommend ! ! ! 
 Nov 11 2004 	 good bad ugly 	 already book hotel ( late May ) read review , must say worried ! family ( mom , aunt , cousin , group 5 woman ) arrive long overnight flight US 6:30 . tell room ( not room accomodate 5 people two room ) would ready 3 pm , mom complain say maybe 1 pm . , leave wander street London sleep . tell leave luggage room resemble chicken coop , room guest access therefore seem like safe place leave thing value . put bag towards back relatively empty , time get back , room full pull lot luggage get ! get room 1:30 , rest family get later . surprised number thing room ... bad : , small ( grant , US use spacious accomodation ) , hot stuffy ( ac ) , hard bed , washcloth ( buy ) ; good : extremely clean room bathroom ( clean tub ) , bad smell , bug ( even window open thge time ) work window , nice size closet , noisy , alarm clock . relieve clean , read review . staff hotel non - english speak country hard understand , often get blank stare ask thing & quot ; time tube start run ? & quot ; main concierge ( manager maybe ) extremely flirtatious , much aggravation . confirm tour we , make one mistake . turn key everytime leave , maybe standard ? want comment breakfast thoroughly cover . hotel wonderful location short walk near underground ( Bayswater Station ) . other say bad neighborhood , probelm even return late night . someone street even volunteer take picture whole group could get picture not run camera ! stay London good experience life wait go back ! afraid ask people street shop direction , everyone accomodate ! would probably stay Bayswater inn inexpensive . however , money would probably stay somewhere else . afterall , probably will not spend much time hotel ! 
 Nov 4 2004 	 absolutly disgraceful . 	 bad hotel I ve ever , do not even stay 1 night , check soon see room . musty , smell B.O dark depressing . litrally run hotel , can not think anything nice say hotel , nightmare . warn . 
 Oct 18 2004 	 good cheap accomodation 	 's bad review . room small clean . good location . good hotel ' ve ever see , suggest good , cheap accomodation . 
 Sep 28 2004 	 get earplug ! ! ! ! 	 one bad hotel ever . bad thing wait neighbour go asleep ... sleep noise , noise , noise ! ! ! get another hotel . already book hotel , definately cancel . get new earplug ! ! ! ! 
 Sep 11 2004 	 stay somewhere else ! 	 stay bayswater Inn April 2004 school trip , find terrible expirience . room cramp un - inviting , odd smell . view non - exsistent ; even though room window , locate basement floor , look window , see air shaft . unpleasant . linen feel clean towel small , almost point become useless . room bathroom , like glorify closets- big enough stand , be . second day , roomate also discover entire colony ant invade room , go around shake clothe belonging insect many , get everywhere . staff rude cold , seem american tourist . help ask , rare occasion would aid customer , would do begrudging , condescend manner . offend particulary , 16 stay first time abroad without parent , little help would greatly appriciate . lobby , furnish nice enough , cramp room . also adive bring breakfast , especially be use eat roll water - and 's it- first meal day , otherwise will find exceedingly hungry throughout rest day . good thing say hotel nice , central location , right across rather pretty garden . however , enough make want stay . stay somehwhere , ! Bayswater Inn worth time money ! 
 Sep 2 2004 	 enjoy stay . - not think ! 	 not think ever unhappy stay hotel . moment walk Bayswater Inn want walk . stay London 3 night , work , buy sleep bag sleep office desk ! think people work hospitality mean hospitable . check nightmare , ' reception manager ' argument potential guest do not even acknowledge , person check extremely rude unhelpful question . walk bedroom could cry , waste money . carpet dirty , room dingy cramp , bathroom glorify cupboard window non - existant ! three night sleep would beneficial stay awake . room sound proof constant bang front door guest noise keep awake . bed hard uncomfortable - like sleep gravel . venture dining room see state bedroom - kitchen can not much well ! good thing stay walk front door last time . never walk back - even pay ! british feel ashamed tourist come visit London stay ruin staying . kind friendly , hygienic , lovable image portray foreign counterpart place like ? I ve live London university work city . love city wish other feel way . visit so - call hotel outfit ? sorry visitor London stay would recommend anyone stay - even dog ! 
 Aug 4 2004 	 get pay 	 spend 4 night bayswater . room spacious clean enough . go take shower noticed curtain bathroom window glass clear opaque . building window look bathroom . mention reception manager instruct member staff show we specific room ( can not remember number ) . room broom cupboard window . bathroom window . decide give room move alternative offer . ( get feel girl tell show we room way say glad ) .In end ask another bath towel use screen window bathroom . we full english breakfast adequate . the staff polite enough . 2nd night find ant bathroom crawl bathroom floor . the location good get Kensington Gardens Hyde Park . also plenty public transport available nearby . at end day really get pay ( except ant lack curtain bathroom ) 
 Jun 28 2004 	 Bloody awful 	 Start finish , horrendous . rude staff , poor quality food , extra cramp room towel leak toilet . management extremely difficult . never would ever recommend place bad enemy . mention , overpriced . awful ruin trip London . 
 Jun 24 2004 	 cockroach -- need say ? 	 stay Bayswater Inn 5 night first week June 2004 . location hotel excellent . be short walk Kensington Park near tube station 5 minute away . however , almost positive hotel . cheap , next time would spend money stay well hotel -- perferably one without cockroach . disgusting see crawl floor middle night . woke sun come go take shower could see floor . the sheet change 5 night material thin hole . , along hot night , make sheet unpleasant night . the staff seem difficulty speak English -- funny consider british hotel London . friendly enough , difficulty understanding . breakfast consist roll ( sometimes stale ) orange juice . computer lobby could pay internet access . size room decent ( three person room ) second floor . 
 Jun 21 2004 	 Rude Staff 	 husband stay second visit London . location area surround hotel bad . not mind hotel long room clean , linen fresh staff friendly . unfortunately , big complaint staff . unfriendly helpful . stay away breakfast staff especially ! extremely rude breakfast HORRIBLE . man charge extremely nasty ! ! 
 Jun 15 2004 	 Bad 	 stay Bayswater inn 7 night . never problem bug ( fact time see Hyde Park ) . room small , not terrible . like internet access lobby could email picture family home . breakfast plain often bread hard , starbuck around corner grocery store far away . find conceirge helpful booking problem transfer airport . complaint hard bed ( generally tired care ) fact right door hallway teenager hall would fle door open slammed wall . , overall enjoy stay . love London ! 
 Jun 11 2004 	 Great Deal Money ! ! ! 	 hotel great value money . base review site , request twin room upper floor , away elevator . room lovely spacious . private bathroom include tub towel warm . hotel internet access reasonable rate lobby , staff friendly helpful . imagine get well hotel price . 
 Jun 8 2004 	 average hotel 	 stay London 5 night room clean . 4th floor . it average size . one thing bed hard , feel like sleep park bench . averagelove London ! ! ! ! ! ! ! 
 Jun 3 2004 	 warn ! 	 please favor pay extra money ( next time ) stay somewhere else . room run , sink full sort caulk material plug leak . walk back hotel , nearly injure piece building 's fascade come crash sidewalk . bad noise come room COCKROACHES find daily February ! THANKYOU ! 
 May 19 2004 	 Average ! ! ! 	 lucky one . family stay hotel April 2004 find fairly good . room clean , linen ok , bathroom decent CH work properly . besides , excellent location . breakfast rather plain survive . remember , London everywhere else get pay . 
 may 10 2004 	 go dump 	 first , GO HERE.When first arrive due check 12 pm , wait 3 pm room & quot ; clean & quot ; .Staff unhelpful & amp ; unfriendly especially breakfast staff . breakfast consist bread roll , water orange juice & amp ; disgust tea . reaction receive ask slice toast waitress rude & amp ; unacceptable . pay £ 3 scramble egg , one group get violently ill . even though four people staying room , supply we two hand towel measley bar soap shower . bed sheet change , unhygienic . manager rude & amp ; would never stay even free ! 
 Apr 25 2004 	 Bad experience 	 staff hotel pleasant enough , helpful . shocked room terribly small hot ( fan air conditioning ) bed hard lumpy , sheet extremely scratchy . tiny tv 3 station . noise level room terrible , could hear every sound outside room , laugh door slam wee hour night ! give 2 bath towel , ask washcloth hand towel tell none available . amenity , save soap tp bathroom . continental breakfast consist cold roll ( good fresh ) , choice butter Jam , drink water orange juice instant coffee ... day go breakfast ! ever visit London , would certainly stay nice hotel ! 
 Mar 13 2004 	 Lumpy bed noisy room 	 hotel brilliantly locate - easy get Heathrow , 2 tube station road convenient . area lovely quiet vibey main road way . hotel ok price exception - bed diabolical - full lump . room noisy resident ... make sure get room away lift . & quot ; continental breakfast & quot ; bit joke ... coffee , bread roll water orange juice . would definitely stay area , would give another establishment try . 
 Feb 18 2004 	 great value 	 location could well . residential area great local Pubs ethnic restaurant market . nice shopping mall tube station block away . room ground floor nice size 2 twin bed - 2 window although could open . nice large bathroom wonderful heated towel bar deep bathtub ( great soak tired foot ) . clean . breakfast basic - optional expensive . staff extremely helpful friendly . excellent value money . 
 Feb 11 2004 	 good enough ! 	 stay tour cousin 's college December 2001 . room small clean . see ant one night also basement room . breakfast good , everyone else say stale hard roll ! couple run bar young bartender nice sweet . make stay bareable could'nt take college kid . would stay problem . 
 Feb 5 2004 	 mixed feeling 	 arrive hotel unpleasantly surprised learn room double book , arrange we transfer another hotel first night . obsiously inconvenient let know much . recover debacle however , fact enjoy stay much indeed . large , clean room perfectly order . I ' ve notice review site mix - people generally either good bad experience Baywater Inn . think may wide disparity quality room . top floor , may give one well room complain lot mayhem first night . room elsewhere hotel may quite nice ( guess - way knowing . kind explain people ' experience different though ) . 
 Jan 30 2004 	 Time new bed 	 hotel conveniently locate price . however , bed really uncomfortable ! 
 Dec 2 2003 	 hate 	 hotel bad review . nice room single , three stay room keep get bad . time round give tiny room right next lift machinery room - would switch whenever someone use lift . room basement even request basement room booking . said not know anything would not move would take room someone else could . nice ! steer clear hotel future apparently 3 * one Bayswater . opinion hostel road well value quieter . 
 Nov 26 2003 	 stay twice good bad 	 stay hotel twice good bad experience . first book lastminute.com give excellent room first floor balcony spacious bathroom . quiet comfortable . second visit book website give small basement room . bathroom smell like block drain shower like jet take powerful wet whole bathroom carpet everytime . like basement room could hear noise upstairs . breakfast awful , toast stale roll water orange juice . however staff lovely time . would go back not get basement room pay cheap £ 35 night rate . 
 Oct 23 2003 	 great value 	 stay early year . excellant hotel try book another break moment . 
 Oct 14 2003 	 bad review ! 	 stay last weekend , room clean , basic want cheat deal ! bad review , think people over - react thing . close underground although personally not think walk distance Oxford St like . 
 Oct 6 2003 	 good value money 	 stay five day last week . think 's really good value money , consider 's london.£55 double room quite spacious , clean , nice bathroom , tv , phone , radio hairdrier . decent breakfast . nice area , near tube , lovely square 5 minute walk Notting Hill . view window not exceptional ( roof , limited view sky ) .as say , money well spend . go back 
 Oct 2 2003 	 hotel dump 
 Sep 29 2003 	 Bayswater Inn - Honeymoon No - n0 ! ! ! 
 Aug 3 2003 	 nice placeexellent service 
 Jun 1 2003 	 shop around time . 
 May 28 2003 	 room 
 Nov 12 2002 	 Great Place price 
 Oct 29 2002 	 low - frill ok budget traveler 
 Jul 25 2002 	 bargain place stay 
 Oct 31 2009 	 Hotel war Ordnung 
 Oct 11 2009 	 I m Keller 
 Oct 5 2009 	 epouvantable 
 Oct 5 2009 	 inaceptable 
 Sep 29 2009 	 carino 
 Aug 23 2009 	 gran cosa pero correcto economico 
 Aug 19 2009 	 insomma ... 
 Aug 19 2009 	 una amara esperienza . 
 Aug 19 2009 	 Para un par de dias ... correcto 
 Aug 7 2009 	 buon compromesso 
 Aug 6 2009 	 ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? ? 
 May 31 2009 	 Parfait pour les visite urbaine 
 Apr 19 2009 	 passable 
 Mar 16 2009 	 Hotel aceptable muy buena ubicación 
 Jan 23 2009 	 Plutôt sympa l'hotel pas la responsable ou qui faisait office de 
 Dec 31 2008 	 Déconseillé 
 Dec 7 2008 	 Un agujero en el sótano 
 Nov 4 2008 	 décevant 
 Aug 28 2008 	 Il Bayswater Inn ! ! 
 Jul 31 2008 	 eviter les chambre en sous - sol 
 May 20 2008 	 ¡ Qué desastre ! 
 Jan 30 2008 	 Hotel de 2 Estrellas 
 Jan 14 2008 	 Perfecto hotel calidad / precio 
 Aug 27 2007 	 Fonda gracia ... 
 Mar 13 2006 	 bayswater positivo 
